Date,Close,High,Low,Open,Volume,returns,rolling_mean,rolling_std,zscore,signal,position,strategy_returns,trade,equity_curve,buy_hold,volatility,regime,future_return,target,zscore_feature,vol_feature,momentum
2015-02-02,167.21826171875,167.30935775192052,163.85601062679834,165.66964179128243,163107000,0.012307958983547564,167.621533203125,1.7188566105135492,-0.2346161290641483,0,0.0,0.0,0.0,1.0,0.9817680140098153,0.011045159134755862,high,0.014357577448252008,1,-0.2346161290641483,0.011045159134755862,-0.0034661712332443653
2015-02-03,169.6364288330078,169.6447183317602,167.73999117407354,168.1126521614309,124212900,0.014357577448252008,167.75072555541993,1.7701795673160445,1.0652610121621686,0,0.0,0.0,0.0,1.0,0.9958638243071778,0.010748255046549672,high,-0.0038153906303155017,0,1.0652610121621686,0.010748255046549672,0.002060937522313296
2015-02-04,168.9904327392578,170.0835848102543,168.53495270967596,168.87449351685765,134306700,-0.0038153906303155017,167.92629165649413,1.7059855790782574,0.6237690961834729,0,0.0,-0.0,0.0,1.0,0.992064214802846,0.010537418455754916,high,0.010044502856731731,1,0.6237690961834729,0.010537418455754916,0.0038793280846603382
2015-02-05,170.6964111328125,170.84548307699293,169.57842841538633,169.65295806926244,97953200,0.010044502856731731,168.08405227661132,1.811147443947661,1.4423777947681415,0,0.0,0.0,0.0,1.0,1.0020290066424946,0.010417259269295305,high,-0.0027693324242625923,0,1.4423777947681415,0.010417259269295305,0.0040480723736218225
2015-02-06,170.22434997558594,171.62390999881345,169.70261720951441,171.06076766399516,125672000,-0.0027693324242625923,168.06956100463867,1.7917357365604896,1.2026265519957269,0,0.0,-0.0,0.0,1.0,0.999254055224348,0.009672036781236517,medium,-0.004485915481044841,0,1.2026265519957269,0.009672036781236517,0.006025063246790642
2015-02-09,169.4624481201172,170.29886574036942,169.05665459774767,169.57838732130486,87219000,-0.004485915481044841,168.08529357910157,1.8030473359305843,0.7637927821261775,0,0.0,-0.0,0.0,1.0,0.9947714859885203,0.009549819348686477,medium,0.010597096996471597,1,0.7637927821261775,0.009549819348686477,0.002666288353872161
2015-02-10,171.26780700683594,171.5245286482681,169.50386295432565,170.49764208253944,96164200,0.010597096996471597,168.25754470825194,1.9362835515458994,1.5546598514358334,0,0.0,0.0,0.0,1.0,1.0053131759148648,0.009632076311016499,medium,0.0005800954225005091,1,1.5546598514358334,0.009632076311016499,0.001914192263516078
2015-02-11,171.3671875,171.7978242989837,170.4562401071207,171.10218898738265,91087800,0.0005800954225005091,168.45836639404297,2.0426467269383703,1.42404512126134,0,0.0,0.0,0.0,1.0,1.0058963534863925,0.009590798906140771,medium,0.009571065633797091,1,1.42404512126134,0.009590798906140771,0.00279328947407928
2015-02-12,173.01522827148438,173.07320421101406,171.40035573613238,172.16224399290283,97545900,0.009571065633797091,168.79211044311523,2.216291245464142,1.9054886567873996,0,0.0,0.0,0.0,1.0,1.015523853506408,0.0096063123920498,medium,0.004107886537352438,1,1.9054886567873996,0.0096063123920498,0.002698602029492352
2015-02-13,173.7274169921875,173.77710343007948,172.88270963873737,173.1394439618939,93670400,0.004107886537352438,169.2376510620117,2.270050614854236,1.9778263536489862,0,0.0,0.0,0.0,1.0,1.0196955102725873,0.009246061791503127,medium,0.0015718312872865386,1,1.9778263536489862,0.009246061791503127,0.004074045821815359
2015-02-17,174.00070190429688,174.1746170702164,173.1642840631735,173.41271624816068,76968200,0.0015718312872865386,169.58878173828126,2.4389885830526468,1.8089138246369503,0,0.0,0.0,0.0,1.0,1.0212982995791393,0.008917096882386372,medium,9.514328607966302e-05,1,1.8089138246369503,0.008917096882386372,0.005285595175481634
2015-02-18,174.0172576904297,174.09178734139812,173.36301927923287,173.6280304423576,80652900,9.514328607966302e-05,169.92293548583984,2.568223315109535,1.5942235943821033,0,0.0,0.0,0.0,1.0,1.0213954692554288,0.008927856105736466,medium,-0.000714014762370859,0,1.5942235943821033,0.008927856105736466,0.003185204433403248
