=== Transmission / Reflection vs Energy (Displayed Range) ===
 Energy (eV)    Transmission      Reflection
      1.3874        0.983924        0.016076
      1.3919        0.987093        0.012907
      1.3964        0.992875        0.007125
      1.4009        0.998105        0.001895
      1.4054        0.999994        0.000006
      1.4099        0.997882        0.002118
      1.4144        0.993659        0.006341
      1.4189        0.990427        0.009573
      1.4234        0.990419        0.009581
      1.4279        0.993590        0.006410
      1.4324        0.997711        0.002289
      1.4369        0.999943        0.000057
      1.4414        0.998942        0.001058
      1.4459        0.995880        0.004120
      1.4505        0.993430        0.006570
      1.4550        0.993608        0.006392
      1.4595        0.996225        0.003775
      1.4640        0.999109        0.000891
      1.4685        0.999945        0.000055
      1.4730        0.998284        0.001716
      1.4775        0.995886        0.004114
      1.4820        0.995052        0.004948
      1.4865        0.996535        0.003465
      1.4910        0.998919        0.001081
      1.4955        1.000000        0.000000
      1.5000        0.998924        0.001076
      1.5045        0.996989        0.003011
      1.5090        0.996263        0.003737
      1.5135        0.997480        0.002520
      1.5180        0.999352        0.000648
      1.5225        0.999967        0.000033
      1.5270        0.998833        0.001167
      1.5315        0.997366        0.002634
      1.5360        0.997257        0.002743
      1.5405        0.998606        0.001394
      1.5450        0.999876        0.000124
      1.5495        0.999688        0.000312
      1.5541        0.998420        0.001580
      1.5586        0.997689        0.002311
      1.5631        0.998383        0.001617
      1.5676        0.999635        0.000365
      1.5721        0.999939        0.000061
      1.5766        0.999036        0.000964
      1.5811        0.998185        0.001815
      1.5856        0.998507        0.001493
      1.5901        0.999562        0.000438
      1.5946        0.999985        0.000015
      1.5991        0.999308        0.000692
      1.6036        0.998546        0.001454
      1.6081        0.998767        0.001233
      1.6126        0.999649        0.000351
      1.6171        0.999981        0.000019
      1.6216        0.999380        0.000620
      1.6261        0.998788        0.001212
      1.6306        0.999077        0.000923
      1.6351        0.999812        0.000188
      1.6396        0.999936        0.000064
      1.6441        0.999346        0.000654
      1.6486        0.998993        0.001007
      1.6532        0.999415        0.000585
      1.6577        0.999958        0.000042
      1.6622        0.999822        0.000178
      1.6667        0.999294        0.000706
      1.6712        0.999245        0.000755
      1.6757        0.999743        0.000257
      1.6802        0.999995        0.000005
      1.6847        0.999649        0.000351
      1.6892        0.999329        0.000671
      1.6937        0.999572        0.000428
      1.6982        0.999965        0.000035
      1.7027        0.999879        0.000121
      1.7072        0.999519        0.000481
      1.7117        0.999528        0.000472
      1.7162        0.999881        0.000119
      1.7207        0.999977        0.000023
      1.7252        0.999699        0.000301
      1.7297        0.999577        0.000423
      1.7342        0.999825        0.000175
      1.7387        1.000000        0.000000
      1.7432        0.999825        0.000175
      1.7477        0.999662        0.000338
      1.7523        0.999814        0.000186
      1.7568        0.999996        0.000004
      1.7613        0.999900        0.000100
      1.7658        0.999748        0.000252
      1.7703        0.999837        0.000163
      1.7748        0.999991        0.000009
      1.7793        0.999940        0.000060
      1.7838        0.999821        0.000179
      1.7883        0.999876        0.000124
      1.7928        0.999992        0.000008
      1.7973        0.999961        0.000039
      1.8018        0.999880        0.000120
      1.8063        0.999919        0.000081
      1.8108        0.999996        0.000004
      1.8153        0.999973        0.000027
      1.8198        0.999928        0.000072
      1.8243        0.999958        0.000042
      1.8288        0.999999        0.000001
      1.8333        0.999983        0.000017
      1.8378        0.999966        0.000034
      1.8423        0.999986        0.000014
      1.8468        1.000000        0.000000
      1.8514        0.999993        0.000007
      1.8559        0.999993        0.000007
      1.8604        0.999999        0.000001
      1.8649        1.000000        0.000000
      1.8694        1.000000        0.000000
      1.8739        0.999999        0.000001
      1.8784        0.999999        0.000001
      1.8829        0.999999        0.000001
      1.8874        0.999988        0.000012
      1.8919        0.999982        0.000018
      1.8964        0.999998        0.000002
      1.9009        0.999982        0.000018
      1.9054        0.999931        0.000069
      1.9099        0.999953        0.000047
      1.9144        0.999999        0.000001
      1.9189        0.999899        0.000101
      1.9234        0.999817        0.000183
      1.9279        0.999953        0.000047
      1.9324        0.999951        0.000049
