,Model,Mean Period Return,Mean Net Period Return,Mean Annualized Return,Mean Annualized Volatility,Mean Sharpe,Mean Allocation Turnover,Total Allocation Turnover,Mean Transaction Cost Rate
0,Black-Litterman,0.17085977056031912,0.1697817619480914,0.18791427587703713,0.16261117914605666,0.9926486828199632,0.9338432101659366,5.60305926099562,0.0009338432101659366
1,Equal-Weight,0.1579953536297517,0.15795916742533095,0.16536363161150305,0.1798013298232348,0.8756695898921539,0.04,1.0,4e-05
2,Markowitz,0.1441383048303719,0.14215990209512558,0.16642945836389408,0.20166615613300265,0.6463860673181182,1.7163489423020168,42.908723557550424,0.001716348942302017
3,Risk-Parity,0.11723083885538546,0.11696182763169424,0.12270245120208678,0.12484104333961905,0.7570116627965929,0.2442019989984883,6.105049974962207,0.0002442019989984883
4,Simulated (Max Sharpe Ratio),0.17053875857583248,0.16925008391457042,0.18627765968034524,0.18734311919447888,0.9148183391995126,1.0981808233319115,27.454520583297786,0.0010981808233319116
