,Metric,Value
0,Return,0.1664922375747514
1,Volatility,0.1904109771992003
2,Sharpe Ratio,0.6117937068979059
3,Sortino Ratio,0.8071353076839074
4,Calmar Ratio,0.36438108382154816
5,Max Drawdown,-0.4569178943885277
6,"Value-at-Risk (VaR, 95%)",-0.01737766355212901
7,"Conditional VaR (CVaR, 95%)",-0.027506892490866443
