,Return,Volatility,Sharpe
0,0.08736425127809568,0.12932342882797443,0.28892097601121813
1,0.08736425127809568,0.12932342882797443,0.28892097601121813
2,0.08736425127809568,0.12932342882797443,0.28892097601121813
3,0.08736425127809568,0.12932342882797443,0.28892097601121813
4,0.08736425127809568,0.12932342882797443,0.28892097601121813
5,0.08736425127809568,0.12932342882797443,0.28892097601121813
6,0.08736425127809568,0.12932342882797443,0.28892097601121813
7,0.08736425127809568,0.12932342882797443,0.28892097601121813
8,0.08736425127809568,0.12932342882797443,0.28892097601121813
9,0.08736425127809568,0.12932342882797443,0.28892097601121813
10,0.08736425127809568,0.12932342882797443,0.28892097601121813
11,0.08736425127809568,0.12932342882797443,0.28892097601121813
12,0.08736425127809568,0.12932342882797443,0.28892097601121813
13,0.08736425127809568,0.12932342882797443,0.28892097601121813
14,0.08736425127809568,0.12932342882797443,0.28892097601121813
15,0.08736425127809568,0.12932342882797443,0.28892097601121813
16,0.08736425127809568,0.12932342882797443,0.28892097601121813
17,0.08736425127809568,0.12932342882797443,0.28892097601121813
18,0.08736425127809568,0.12932342882797443,0.28892097601121813
19,0.08736425127809568,0.12932342882797443,0.28892097601121813
20,0.08736425127809568,0.12932342882797443,0.28892097601121813
21,0.08736425127809568,0.12932342882797443,0.28892097601121813
22,0.08736425127809568,0.12932342882797443,0.28892097601121813
23,0.08736425127809568,0.12932342882797443,0.28892097601121813
24,0.08736425127809568,0.12932342882797443,0.28892097601121813
25,0.08736425127809568,0.12932342882797443,0.28892097601121813
26,0.08736425127809568,0.12932342882797443,0.28892097601121813
27,0.08736425127809568,0.12932342882797443,0.28892097601121813
28,0.08736425127809568,0.12932342882797443,0.28892097601121813
29,0.08736425127809568,0.12932342882797443,0.28892097601121813
30,0.08736425127809568,0.12932342882797443,0.28892097601121813
31,0.08736425127809568,0.12932342882797443,0.28892097601121813
32,0.08736425127809568,0.12932342882797443,0.28892097601121813
33,0.08736425127809568,0.12932342882797443,0.28892097601121813
34,0.08736425127809568,0.12932342882797443,0.28892097601121813
35,0.08736425127809568,0.12932342882797443,0.28892097601121813
36,0.08736425127809568,0.12932342882797443,0.28892097601121813
37,0.0877389307821283,0.12932463429630006,0.29181548424612863
38,0.08968930029112093,0.12936983318568457,0.3067894524850694
39,0.09163966980011357,0.129479748443511,0.3215921431781278
40,0.0935900393091062,0.12965388794279137,0.3362031019720744
41,0.09554040881809885,0.1298919933773936,0.35060212438024446
42,0.09749077832709147,0.1301938988114137,0.364769614864073
43,0.09944114783608413,0.13056170737630127,0.3786803100972496
44,0.10139151734507673,0.13098853828835016,0.3923359861604577
45,0.10334188685406939,0.13145983014436927,0.4057656760661359
46,0.10529225636306208,0.1319706268619812,0.418973961689887
47,0.10724262587205466,0.1325203930807698,0.43195333594555424
48,0.10919299538104732,0.13311009909027072,0.4446919939628672
49,0.11114336489003994,0.1337392970500752,0.45718323812593686
50,0.11309373439903259,0.13440937391973398,0.4694146885671131
51,0.11504410390802525,0.13512054728421438,0.48137833375711986
52,0.11699447341701784,0.13587217183117542,0.4930698649629311
53,0.11894484292601046,0.136663580140063,0.5044858539147786
54,0.12089521243500312,0.13749408523322923,0.5156237253023982
55,0.12284558194399577,0.13836298011350123,0.5264817358244195
56,0.12479595145298839,0.13926947666657633,0.5370591837007949
57,0.12674632096198105,0.14021466279945471,0.547348753901361
58,0.1286966904709737,0.14120534344558586,0.5573209097522562
59,0.13064705997996634,0.14224235894482293,0.5669693653720271
60,0.13259742948895895,0.14332578319087952,0.5762914923615432
61,0.1345477989979516,0.1444545728299024,0.5852898758525839
62,0.13649816850694424,0.14562829836840835,0.5939653863710089
63,0.13844853801593693,0.1468509642169234,0.6023013773698052
64,0.14039890752492948,0.1481224719668664,0.610298399186525
65,0.14234927703392222,0.1494477105054067,0.6179370478250399
66,0.14429964654291472,0.1508380834655288,0.6251713385397469
67,0.1462500160519074,0.15229394499739893,0.6320015943742956
68,0.14820038556090004,0.1538134355420832,0.63843828216185
69,0.15015075506989267,0.15539468856662159,0.6444927815338781
70,0.15210112457888536,0.15703583835305548,0.6501772184597552
71,0.154051494087878,0.15873502710759058,0.6555043079266425
72,0.15600186359687063,0.16049041138186093,0.6604872072055219
73,0.15795223310586323,0.16230016781033008,0.6651393807061258
74,0.15990260261485587,0.1641624981780996,0.6694744770247265
75,0.16185297212384853,0.1660756421718188,0.6735061846584792
76,0.1638033416328411,0.168040633719789,0.6772370415039637
77,0.16575371114183382,0.17008148963544473,0.6805779476058336
78,0.16770408065082643,0.17220824230635995,0.6834985310484143
79,0.16965445015981906,0.17442959993271648,0.685975603945511
80,0.1716048196688117,0.1767423577581953,0.6880343863873404
81,0.17355518917780433,0.17914297585437464,0.6897015559138772
82,0.17550555868679696,0.18165157530742887,0.6909136817249735
83,0.17745592819578962,0.1842970645397069,0.691578721094221
84,0.17940629770478222,0.1870738900283556,0.6917389577196881
85,0.18135666721377489,0.18997629275474268,0.6914371541261461
86,0.1833070367227675,0.19299860733548344,0.6907150189485256
87,0.18525740623176012,0.19613529056277096,0.6896127965735595
88,0.18720777574075279,0.19938999598090812,0.6881377125555016
89,0.18915814524974542,0.20307381408486608,0.685258933441759
90,0.1911085147587381,0.20847188278572468,0.6768707265131518
91,0.1930588842677307,0.21617191039062486,0.6617829486227967
92,0.1950092537767232,0.22997293271661293,0.6305492218747877
