,Model,Observations,Daily Alpha,Annualized Alpha,R-Squared,Residual Volatility,Total Excess Return Volatility
0,Simulated (Max Sharpe Ratio),1420,0.00013989368931658464,0.03587941687671847,0.7631627377570868,0.09812687282941675,0.20163361785607326
1,Equal-Weight,1420,0.00019919288651300924,0.05147254832305248,0.855584568519166,0.06531274841624121,0.17186647061304944
2,Markowitz,1420,-3.3742907864604474e-05,-0.008467304970927958,0.5393045549480603,0.16711072685592043,0.24620528377299303
3,Black-Litterman,1420,0.00016309628891625032,0.04195307999416453,0.6401508082487504,0.10309961402818511,0.17186869272975394
4,Risk-Parity,1420,0.0001881114954357858,0.048540962991376224,0.7895143524527465,0.06493642159535315,0.14153932127400468
