,Metric,Value
0,Annual Return,0.17908016664323295
1,Annual Volatility,0.18660066452602403
2,Sharpe Ratio,0.6917454821026694
3,Sortino Ratio,0.9163128969596634
4,Maximum Drawdown,-0.42097401046397465
5,Calmar Ratio,0.4253948276898627
6,"Value at Risk (VaR, 95%)",-0.01700578174018661
7,Conditional VaR (95%),-0.026903143513683704
