,Date,Model,Ticker,Weight
83,2002-01-02,Equal-Weight,BA,0.02
84,2002-01-02,Equal-Weight,CVX,0.02
85,2002-01-02,Equal-Weight,CSCO,0.02
86,2002-01-02,Equal-Weight,DD,0.02
87,2002-01-02,Equal-Weight,XOM,0.02
88,2002-01-02,Equal-Weight,FDX,0.02
89,2002-01-02,Equal-Weight,GS,0.02
90,2002-01-02,Equal-Weight,GM,0.02
91,2002-01-02,Equal-Weight,HAS,0.02
92,2002-01-02,Equal-Weight,JBL,0.02
93,2002-01-02,Equal-Weight,KMB,0.02
94,2002-01-02,Equal-Weight,KLAC,0.02
95,2002-01-02,Equal-Weight,LOW,0.02
96,2002-01-02,Equal-Weight,MKC,0.02
97,2002-01-02,Equal-Weight,NEM,0.02
98,2002-01-02,Equal-Weight,OLN,0.02
99,2002-01-02,Equal-Weight,PH,0.02
100,2002-01-02,Markowitz,PPG,0.0
101,2002-01-02,Markowitz,DELL,0.0
102,2002-01-02,Markowitz,QCOM,0.0
103,2002-01-02,Markowitz,AMAT,0.0
104,2002-01-02,Markowitz,MRK,0.0
105,2002-01-02,Markowitz,AME,0.0
106,2002-01-02,Markowitz,PG,0.0
107,2002-01-02,Markowitz,CL,0.0
108,2002-01-02,Markowitz,V,0.0
109,2002-01-02,Markowitz,MA,0.0
110,2002-01-02,Markowitz,MU,0.0
111,2002-01-02,Markowitz,T,0.0
112,2002-01-02,Markowitz,JPM,0.0
113,2002-01-02,Markowitz,JNJ,0.10328
114,2002-01-02,Markowitz,INTC,0.0
115,2002-01-02,Markowitz,GE,0.0
116,2002-01-02,Markowitz,MS,0.0
117,2002-01-02,Markowitz,RTX,0.0
118,2002-01-02,Markowitz,TXN,0.0
119,2002-01-02,Markowitz,IBM,0.0
120,2002-01-02,Markowitz,SPGI,0.0
121,2002-01-02,Markowitz,LMT,0.24586
122,2002-01-02,Markowitz,ADP,0.0
123,2002-01-02,Markowitz,COF,0.0
124,2002-01-02,Markowitz,WDC,0.04115
125,2002-01-02,Markowitz,ABT,0.0
126,2002-01-02,Markowitz,GILD,0.00796
127,2002-01-02,Markowitz,UNP,0.0
128,2002-01-02,Markowitz,ADI,0.0
129,2002-01-02,Markowitz,TMUS,0.0
130,2002-01-02,Markowitz,MMM,0.0
131,2002-01-02,Markowitz,ADBE,0.0
132,2002-01-02,Markowitz,AXP,0.0
133,2002-01-02,Markowitz,BA,0.0
134,2002-01-02,Markowitz,CVX,0.00821
135,2002-01-02,Markowitz,CSCO,0.0
136,2002-01-02,Markowitz,DD,0.0
137,2002-01-02,Markowitz,XOM,0.0
138,2002-01-02,Markowitz,FDX,0.0
139,2002-01-02,Markowitz,GS,0.0
140,2002-01-02,Markowitz,GM,0.0
141,2002-01-02,Markowitz,HAS,0.13638
142,2002-01-02,Markowitz,JBL,0.0
143,2002-01-02,Markowitz,KMB,0.0
144,2002-01-02,Markowitz,KLAC,0.0
145,2002-01-02,Markowitz,LOW,0.28457
146,2002-01-02,Markowitz,MKC,0.12753
147,2002-01-02,Markowitz,NEM,0.04506
148,2002-01-02,Markowitz,OLN,0.0
149,2002-01-02,Markowitz,PH,0.0
150,2002-01-02,Risk-Parity,PPG,0.00847981240102172
151,2002-01-02,Risk-Parity,DELL,0.10848481775690812
152,2002-01-02,Risk-Parity,QCOM,0.003718257906431061
153,2002-01-02,Risk-Parity,AMAT,0.003960491369294462
154,2002-01-02,Risk-Parity,MRK,0.01722591783197851
155,2002-01-02,Risk-Parity,AME,0.010542026408303415
156,2002-01-02,Risk-Parity,PG,0.01738909324220425
157,2002-01-02,Risk-Parity,CL,0.014838080505801795
158,2002-01-02,Risk-Parity,V,0.10848481775938512
159,2002-01-02,Risk-Parity,MA,0.1084848177826801
160,2002-01-02,Risk-Parity,MU,0.004123403220665889
161,2002-01-02,Risk-Parity,T,0.015195671726714164
162,2002-01-02,Risk-Parity,JPM,0.006261419985509721
163,2002-01-02,Risk-Parity,JNJ,0.025100707168499777
164,2002-01-02,Risk-Parity,INTC,0.004395751522289026
165,2002-01-02,Risk-Parity,GE,0.005987998745487103
166,2002-01-02,Risk-Parity,MS,0.004509870594253279
167,2002-01-02,Risk-Parity,RTX,0.006452973229398723
168,2002-01-02,Risk-Parity,TXN,0.004316533501237426
169,2002-01-02,Risk-Parity,IBM,0.008187364514727798
170,2002-01-02,Risk-Parity,SPGI,0.014282269604751253
171,2002-01-02,Risk-Parity,LMT,0.02788266512783369
172,2002-01-02,Risk-Parity,ADP,0.008844075826071378
173,2002-01-02,Risk-Parity,COF,0.006376088175173472
174,2002-01-02,Risk-Parity,WDC,0.00425705897167422
175,2002-01-02,Risk-Parity,ABT,0.01557157265796329
176,2002-01-02,Risk-Parity,GILD,0.004676726864398555
