Date,Simulated (Max Sharpe Ratio),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2021-01-05,0.011827219139524558,0.012434199750817276,0.005215716708941942,0.009945059434739667,0.0098698565782247
2021-01-06,0.00294324006015656,0.01696314508357566,0.004413058142755499,-0.005682648818673641,0.014664945131487528
2021-01-07,0.012450013806486027,0.010329043967369556,0.004377348262059266,0.02116366629412525,0.008530969553793177
2021-01-08,0.002342608280958114,-0.0003204800293395982,-0.004003756259668312,0.0009761648896229325,-0.0007193791796182847
2021-01-11,-0.0026998397249669015,0.00174972317097577,-0.008504457784960562,-0.0005249014387124218,0.00012337086260538754
2021-01-12,-0.0005067034015577843,0.006773639255708952,-0.007103986144265773,-0.0009084243447415874,0.004343821644898327
2021-01-13,0.003369961784143616,-0.002300982807658891,0.005592834469937857,-0.0006625572277584313,-0.0018878232407421036
2021-01-14,0.006286297599013668,0.008116589779952665,0.005250906905948982,0.002701722704038456,0.0064076880503178835
2021-01-15,-0.010120284531336066,-0.010636787085127719,-0.009018476268711773,-0.007070229710807285,-0.00825710049478301
2021-01-19,0.016408304129490903,0.01271514478827318,0.014258298994893392,0.027026407897018823,0.011324681369576206
2021-01-20,0.0027519679331851066,0.0023097615986784614,0.01517288865693378,0.0007215798912465488,0.0031630234469679497
2021-01-21,-0.0024994520617437344,-0.005625906767052102,-0.006799500254942803,0.0031439530595718246,-0.005880051278979392
2021-01-22,-0.011576551840273619,-0.011725010599917485,-0.0058294699729806165,-0.01415326464621558,-0.010152412248422227
2021-01-25,0.00544560273240835,-0.002546020529175186,0.003958628865037728,-0.0003667165704878128,0.0007656653511436406
2021-01-26,-0.002868352688493059,-0.00520872616096657,-0.006082660676216545,-0.007262623601393847,-0.0035669005710394774
2021-01-27,-0.032403194082975983,-0.024594442373782832,-0.04818519857377912,-0.04556997228349968,-0.023262764532483438
2021-01-28,0.01084384162879437,0.016000576430946545,0.01709205124278368,0.025398888890715288,0.012878809196278818
2021-01-29,-0.013204483432159075,-0.016228380600543324,-0.009643130942388445,-0.017790878015871314,-0.015067970437188993
2021-02-01,0.017818713255205454,0.012179523723894414,0.01898761927074366,0.02746241802472338,0.010241913560500748
2021-02-02,0.016733950826345545,0.017310225535586587,0.015130474663398008,0.02250796847548453,0.01410111583191842
2021-02-03,-0.008072369705827254,-0.002734966894475277,-0.013521237303965927,-0.020468380024688648,-0.0035262124957010643
2021-02-04,-0.008312218020003037,0.013223444725985134,-0.020005298546917683,0.025253019204547478,0.010624280567893551
2021-02-05,-0.002283740509020138,0.0030946808492930966,-0.0035834257117030033,-0.004947761418649166,0.005045244903808976
2021-02-08,0.010969593335159011,0.01319947192280635,0.011103112044480223,0.019519647675102503,0.010603157965630938
2021-02-09,-0.0046669976984419215,-0.0042580766266369086,-0.006105971209686367,-0.003758451427042231,-0.00409177562570584
2021-02-10,-0.00287443438361612,-0.002251047885477142,-0.0036165329256527823,-0.004290171867718295,-0.0019318868087822016
2021-02-11,0.004864395939861987,0.0069385012242610955,-0.008018866771505095,0.03852696575940584,0.004238837889299241
2021-02-12,0.00824595984975729,0.00769410648734592,0.01231758120621862,0.010859696305144828,0.006600462971064092
2021-02-16,-0.0036936016155936224,0.00163506811447367,-0.010794908327351305,0.0014705219730546393,-0.0018644087924727382
2021-02-17,-0.00832937320678373,-0.004071188548785076,-0.011409861017128708,-0.014182767012431374,-0.0030883847099399953
2021-02-18,-0.0012689335375853927,-0.003466103817553412,0.0010820559733060175,0.004520323867825082,-0.0018696811852833006
2021-02-19,0.0005352461733809655,0.006164604938081242,-0.008860175537940274,0.006344509862982184,0.0012524779138138875
2021-02-22,-0.014079027947590306,-0.002201964753374974,-0.01150829156189026,-0.022732365797711096,-0.0019963785050762795
2021-02-23,-7.825296411811955e-05,0.000929113873621823,-0.0036453588768845524,0.010926922023553276,0.0003948266635136477
2021-02-24,0.022412555421255087,0.024054395628399394,0.013403527926957981,0.036366507257379554,0.019408697238794126
2021-02-25,-0.02531796042954937,-0.02464414132735182,-0.015272928074920977,-0.04243178139652137,-0.02083710193005206
2021-02-26,-0.002861371703839155,-0.006305905585079374,-0.0079638802091474,0.013436052526068831,-0.008815407758560045
2021-03-01,0.02238722380610869,0.025587408326105177,0.022916102544888517,0.030558880506925457,0.022115409005729836
2021-03-02,-0.0073677362984444494,-0.005198648965634822,-0.000540945340592458,-0.022852744991441964,-0.0027921627258101767
2021-03-03,-0.01424134404373767,-0.00458905713703095,-0.021549989725024088,-0.017686259590113718,-0.005702417569209861
2021-03-04,-0.019966697454168236,-0.017393831653576775,-0.014961943663922672,-0.03450242498438982,-0.015036983013985261
2021-03-05,0.024896661751221405,0.025840973778820997,0.03152451793014266,0.030910136902018603,0.025308541971170273
2021-03-08,-0.010670361493247293,0.0019735441843031776,-0.012700067798292358,-0.024347723174944158,0.002560696504197102
2021-03-09,0.016490556689330305,0.007303983209586695,0.01842274297533142,0.0352319794177085,0.005930817735498861
2021-03-10,0.004983333542403212,0.00897354976224074,0.006534258206004839,-0.015553996274060955,0.008596118106956485
2021-03-11,0.010890467182760988,0.006244719163098766,0.011736669106575226,0.0269610095754651,0.004257346367275261
2021-03-12,0.0008247413839588269,0.004779420343804741,0.0033182466600159,-0.010567931933610386,0.003877343042752779
2021-03-15,0.005697884108335716,0.00600576181699175,0.006132154951406621,0.009371166240310425,0.0077721788455455965
2021-03-16,0.0035527300316087196,-0.0003668164919793382,0.004725002525220345,0.012951966474458176,0.000782342050881013
2021-03-17,0.006185095488030035,0.011117911604133557,0.008314124271239454,0.01183264775395898,0.008801122308712106
2021-03-18,-0.015369724884895852,-0.012136134467254367,-0.01740869904185338,-0.03422033666335578,-0.010127484986307667
2021-03-19,0.0003699077574192966,-0.0013444119608110316,0.013397238050428806,-0.00802904585374642,-0.0018335933619975098
2021-03-22,0.010505619499459051,0.0016729961330999021,0.0007262388646596118,0.01505872133475128,0.003330447333186548
2021-03-23,-0.010584313749469554,-0.01718116584033691,-0.015991863786539606,-0.022602513223286325,-0.01344695024047049
2021-03-24,-0.006509020869314153,0.0020088517202814238,-0.01169984190213147,-0.004840780974881054,0.0014767028445847874
2021-03-25,0.007893666641099806,0.009390865337710164,0.006151416042405877,0.002773936653043263,0.007779055646477406
2021-03-26,0.02720477586366754,0.025148950462719144,0.021663130123900975,0.04250133460202532,0.023999753759287312
2021-03-29,-0.0032990976701485764,-0.0037657404635218494,-0.0010798714348360106,-0.007701357999762903,-0.0012307647888886164
2021-03-30,-0.0030232362793111145,-0.0016743254346357483,-0.002370090709895245,-0.004689084799476606,-0.004032341527500205
2021-03-31,0.005644178716003312,-0.00026872472059902286,0.0056413742876939565,0.017778089378804207,-0.000798496216044775
2021-04-01,0.01667184320125603,0.014020126055101167,0.019914648150058722,0.03624272005241713,0.012145945309507855
2021-04-05,0.014070947110228937,0.011362533835563182,0.013691230958518652,0.01449060294099036,0.010846204510524649
2021-04-06,-0.005360323800530309,-0.0035357737489766228,-0.0019712588051948865,-0.006774986044117082,-0.002942805780396407
2021-04-07,-0.0016843133793222886,-0.0020797009829123247,-0.006513147831263666,0.0015876169953388253,-0.002543557955153264
2021-04-08,0.004934924347016256,0.0037427794615658705,0.005433125628028668,0.011496926726157763,0.0030352189217313086
2021-04-09,0.0012322303551033364,0.003938574082109847,-0.0013498498477373388,0.003035902656345124,0.00318047452884751
2021-04-12,-0.0050542261287416235,-0.0022844702129640737,-0.001135062893078076,-0.005283753177435124,-0.0020484185574611846
2021-04-13,-0.002899055556236596,-0.005040914171906663,0.006196437398878096,-0.00722983088965401,-0.0034997472096602866
2021-04-14,-0.005056009090476876,0.0011037217950307099,-0.01029058385454007,-0.008428196242684649,0.0005013760147039026
2021-04-15,0.011699280666985556,0.009220911318701619,0.022816952336506047,0.009880544566654326,0.01063498253396511
2021-04-16,0.0048725281056380965,0.003958043409307388,0.0034618716601455546,-0.00034972828279766777,0.00510703951547975
2021-04-19,-0.00945381166476944,-0.0056751673261856705,-0.012811050659553014,-0.016020754968252282,-0.005282091551704893
2021-04-20,-0.006338354680666014,-0.012158019645336582,-0.004933647113014472,-0.00955245239616842,-0.007817266038138926
2021-04-21,0.01483975538862059,0.01540501126794358,0.010090288650343782,0.02095093946104276,0.013430005513138887
2021-04-22,-0.012967518180838855,-0.011465989699203982,-0.011767325941603235,-0.020123601997223073,-0.01056018164919903
2021-04-23,0.008272464062283547,0.008242180568008184,0.008718545367386588,0.015177621777336725,0.005265122721453519
2021-04-26,0.004178825505056549,0.002737274917681498,0.0006049575611142277,0.007886812008928379,0.00022687547314337309
2021-04-27,-7.393646003639454e-05,0.0012868385815678618,0.005183195239735872,0.001750300214351519,-0.0004899774968405435
2021-04-28,-0.00564287865442592,-0.0031399626577772732,-0.004337237847295672,-0.01063109064565304,-0.0030646759303943893
2021-04-29,0.014311636168337083,0.008807568631458595,0.014369313051891819,0.00932016901184185,0.0072787003785603765
2021-04-30,-0.011837862723391046,-0.01091133681924028,-0.014733756595858849,-0.018474529079735458,-0.009263525358841118
2021-05-03,0.0028037069899873313,0.0072495127888434485,0.015928321301067916,-0.004996399027731635,0.008670572198157922
2021-05-04,-0.008792914300026045,-0.002084523478351419,-0.01368965063551364,-0.010981691112934233,-0.0018180066981616783
2021-05-05,0.006253428119337157,0.00857702290417306,0.018408954852283665,-0.00011341300754852401,0.008152093048585662
2021-05-06,0.00971419172996435,0.009895466726805413,0.023766864653169018,0.0039572306734614315,0.01000094301459753
2021-05-07,0.006979123718258595,0.008291957011524076,0.007981772772840623,0.008666273483296072,0.00685058818987927
2021-05-10,-0.019354459520689926,-0.010886583362929358,-0.02144902469921728,-0.03714699203445515,-0.007091018713238917
2021-05-11,-0.006105265917673464,-0.008970585434373346,0.0024641785101089386,-0.002033710454905857,-0.008404797334126468
2021-05-12,-0.02497069708251054,-0.02502461853647664,-0.020028198968807254,-0.03645150985562862,-0.02195161091595499
2021-05-13,0.017016071948661837,0.016824120073367643,0.017342671302099433,0.01693163498561656,0.016195663874436494
2021-05-14,0.017211803590281516,0.01752032400097625,0.023795688015469496,0.02420426212530513,0.014795407470858057
2021-05-17,-0.0007841920989322126,0.001363076571487154,0.008188600537514912,-0.0033925691669681735,0.001994505375533917
2021-05-18,-0.010670636673385192,-0.012672504876079738,-0.013448333914528265,-0.010280984286257011,-0.011270324027696121
2021-05-19,0.0024517350252024617,-0.0026338402221360857,0.00024375371816609537,0.008162067943206175,-0.0027478864211734066
2021-05-20,0.012606158241303511,0.009921083664303998,0.00850317928546862,0.01894362459853105,0.009599103012753796
2021-05-21,-0.0010560670929367078,0.0027698016587589525,-0.0027587593994359283,-0.0039770656974921215,0.0014320743478384301
2021-05-24,0.010503004918317238,0.009274320340188602,0.009540809519162252,0.019657145562627543,0.00739586631931477
2021-05-25,9.176444493608216e-05,-0.004143048212131628,-0.006424911641768061,-0.0024733923085891174,-0.004503417500327123
