,Initial Capital,Final Portfolio Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,VaR (95%),CVaR (95%),Total Turnover,Total Transaction Cost,Benchmark Return,Alpha,Beta,Correlation,Tracking Error,Information Ratio,Upside Capture,Downside Capture,Number of OOS Trading Days,Number of Rebalances,Average Daily Return,Best Day,Worst Day,Positive Days,Negative Days,Win Rate
Simulated (Max Sharpe Ratio),1000000.0,3380858.9866702817,2.3808589866702743,0.24131977751330091,0.20163361785607326,0.9488486074274857,1.3346550197965668,-0.21318419465705118,1.1319778086809453,-0.01861842713520285,-0.028881906784897275,6.105697120812366,8595.476888703053,0.15386714686095804,0.09264508354739909,0.9500087077388668,0.78782245668228,0.1244676398639027,0.7026133921071104,1.0390375311636921,0.9553938713157769,1420.0,5.0,0.0009387596333783893,0.08743871574395512,-0.07604557254266053,756.0,664.0,0.532394366197183
Equal-Weight,1000000.0,2900546.5265309233,1.9005465265309223,0.20801933769172543,0.17186647061304944,0.9194308647176431,1.3560909587721883,-0.23946056719651398,0.868699761831825,-0.01614234649216768,-0.023320104390766466,1.9895407545603108,2621.0185411854445,0.15386714686095804,0.06186166362184292,0.9257756372051326,0.9006961405373892,0.07569177070513133,0.7154303608740425,0.9741424571391388,0.9166980498360707,1420.0,5.0,0.0008087245219851941,0.08879133883691459,-0.06850672646931821,752.0,668.0,0.5295774647887324
Markowitz,1000000.0,2653363.5543685406,1.6533635543685383,0.18907432679329683,0.24620528377299303,0.564871414057574,0.7985053365750369,-0.2433672330379434,0.7769095470786663,-0.021657845362290085,-0.03580810247155662,9.85802234366764,11377.536661517996,0.15386714686095804,0.047326801252807416,0.8833161236565727,0.5999050275548938,0.19794566155523916,0.17786285213689212,0.9728321843157219,0.9169264851293301,1420.0,5.0,0.0008075013394931698,0.0933941008679402,-0.07674659152801289,730.0,690.0,0.5140845070422535
Black-Litterman,1000000.0,2611210.1217012135,1.6112101217011983,0.1856997972711223,0.17186869272975394,0.7895550673937832,1.1162960529903245,-0.24578484687842816,0.7555380229073863,-0.01640955729969635,-0.024138385782311225,5.709302979425219,7963.825911663253,0.15386714686095804,0.051026475209665356,0.815207932637305,0.7931134886932478,0.10914584427705164,0.2916524272730116,0.8537154209303854,0.7939698706265413,1420.0,5.0,0.0007347546975679301,0.06716427046143703,-0.0767227901996489,770.0,650.0,0.5422535211267606
Risk-Parity,1000000.0,2363564.057639819,1.3635640576398265,0.16491719459657772,0.14153932127400468,0.8119100301047125,1.1884051046617543,-0.21250794128635186,0.7760519140993127,-0.013204150039222706,-0.01944054718517924,2.1260666937541384,2651.1944188694333,0.15386714686095804,0.037253746512928954,0.7477190856856122,0.8833342506929468,0.07862085548466503,0.14054855632771626,0.7756465319886463,0.729271517396564,1420.0,5.0,0.0006456609231471106,0.06844691010908299,-0.06427528534945215,764.0,656.0,0.5380281690140845
