,Simulated (Monte Carlo),Equal Weight,Optimized (Markowitz),Optimized (Black-Litterman),Optimized (Risk-parity)
Expected Returns,0.1664922375747514,0.15460331798191382,0.1806463141212238,0.11680804591116807,0.14602435078541942
Volatility,0.1904109771992003,0.19995937846870587,0.17853101406732463,0.18274074022265768,0.17733304304170724
Sharpe Ratio,0.6117937068979059,0.5231228401636809,0.7317849775499322,0.3655892267360131,0.541491586330221
Sortino Ratio,0.8071353076839074,0.6919890447483343,0.9809836619944889,0.47262507007277915,0.7059146052254095
Maximum Drawdown,-0.4569178943885277,-0.46630753826764093,-0.37588843938168404,-0.43037011319038565,-0.4111650949145188
Calmar Ratio,0.36438108382154816,0.33154797058669466,0.4805849161479325,0.40229538686984556,0.3551477316326618
"Value-at-Risk (VaR, 95%)",-0.01737766355212901,-0.018454532076847018,-0.0158402315328878,-0.01618877570053846,-0.016288614278291768
"Conditional VaR (CVaR, 95%)",-0.027506892490866443,-0.028859700237628697,-0.025454028261170242,-0.02667361370967345,-0.025727248252843997
