,Parameter,Parameter Value,Scenario,Model,Ticker,Weight
65,Lookback Window,126.0,Lookback Window=126,Equal-Weight,GE,0.02
66,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MS,0.02
67,Lookback Window,126.0,Lookback Window=126,Equal-Weight,RTX,0.02
68,Lookback Window,126.0,Lookback Window=126,Equal-Weight,TXN,0.02
69,Lookback Window,126.0,Lookback Window=126,Equal-Weight,IBM,0.02
70,Lookback Window,126.0,Lookback Window=126,Equal-Weight,SPGI,0.02
71,Lookback Window,126.0,Lookback Window=126,Equal-Weight,LMT,0.02
72,Lookback Window,126.0,Lookback Window=126,Equal-Weight,ADP,0.02
73,Lookback Window,126.0,Lookback Window=126,Equal-Weight,COF,0.02
74,Lookback Window,126.0,Lookback Window=126,Equal-Weight,WDC,0.02
75,Lookback Window,126.0,Lookback Window=126,Equal-Weight,ABT,0.02
76,Lookback Window,126.0,Lookback Window=126,Equal-Weight,GILD,0.02
77,Lookback Window,126.0,Lookback Window=126,Equal-Weight,UNP,0.02
78,Lookback Window,126.0,Lookback Window=126,Equal-Weight,ADI,0.02
79,Lookback Window,126.0,Lookback Window=126,Equal-Weight,TMUS,0.02
80,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MMM,0.02
81,Lookback Window,126.0,Lookback Window=126,Equal-Weight,ADBE,0.02
82,Lookback Window,126.0,Lookback Window=126,Equal-Weight,AXP,0.02
83,Lookback Window,126.0,Lookback Window=126,Equal-Weight,BA,0.02
84,Lookback Window,126.0,Lookback Window=126,Equal-Weight,CVX,0.02
85,Lookback Window,126.0,Lookback Window=126,Equal-Weight,CSCO,0.02
86,Lookback Window,126.0,Lookback Window=126,Equal-Weight,DD,0.02
87,Lookback Window,126.0,Lookback Window=126,Equal-Weight,XOM,0.02
88,Lookback Window,126.0,Lookback Window=126,Equal-Weight,FDX,0.02
89,Lookback Window,126.0,Lookback Window=126,Equal-Weight,GS,0.02
90,Lookback Window,126.0,Lookback Window=126,Equal-Weight,GM,0.02
91,Lookback Window,126.0,Lookback Window=126,Equal-Weight,HAS,0.02
92,Lookback Window,126.0,Lookback Window=126,Equal-Weight,JBL,0.02
93,Lookback Window,126.0,Lookback Window=126,Equal-Weight,KMB,0.02
94,Lookback Window,126.0,Lookback Window=126,Equal-Weight,KLAC,0.02
95,Lookback Window,126.0,Lookback Window=126,Equal-Weight,LOW,0.02
96,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MKC,0.02
97,Lookback Window,126.0,Lookback Window=126,Equal-Weight,NEM,0.02
98,Lookback Window,126.0,Lookback Window=126,Equal-Weight,OLN,0.02
99,Lookback Window,126.0,Lookback Window=126,Equal-Weight,PH,0.02
100,Lookback Window,126.0,Lookback Window=126,Markowitz,PPG,0.0
101,Lookback Window,126.0,Lookback Window=126,Markowitz,DELL,0.0
102,Lookback Window,126.0,Lookback Window=126,Markowitz,QCOM,0.0
103,Lookback Window,126.0,Lookback Window=126,Markowitz,AMAT,0.25967
104,Lookback Window,126.0,Lookback Window=126,Markowitz,MRK,0.0
105,Lookback Window,126.0,Lookback Window=126,Markowitz,AME,0.0
106,Lookback Window,126.0,Lookback Window=126,Markowitz,PG,0.0
107,Lookback Window,126.0,Lookback Window=126,Markowitz,CL,0.01475
108,Lookback Window,126.0,Lookback Window=126,Markowitz,V,0.0
109,Lookback Window,126.0,Lookback Window=126,Markowitz,MA,0.0
110,Lookback Window,126.0,Lookback Window=126,Markowitz,MU,0.0
111,Lookback Window,126.0,Lookback Window=126,Markowitz,T,0.0
112,Lookback Window,126.0,Lookback Window=126,Markowitz,JPM,0.0
113,Lookback Window,126.0,Lookback Window=126,Markowitz,JNJ,0.0
114,Lookback Window,126.0,Lookback Window=126,Markowitz,INTC,0.0
115,Lookback Window,126.0,Lookback Window=126,Markowitz,GE,0.05462
116,Lookback Window,126.0,Lookback Window=126,Markowitz,MS,0.0
117,Lookback Window,126.0,Lookback Window=126,Markowitz,RTX,0.0
118,Lookback Window,126.0,Lookback Window=126,Markowitz,TXN,0.0
119,Lookback Window,126.0,Lookback Window=126,Markowitz,IBM,0.0
120,Lookback Window,126.0,Lookback Window=126,Markowitz,SPGI,0.0
121,Lookback Window,126.0,Lookback Window=126,Markowitz,LMT,0.0
122,Lookback Window,126.0,Lookback Window=126,Markowitz,ADP,0.0
123,Lookback Window,126.0,Lookback Window=126,Markowitz,COF,0.16602
124,Lookback Window,126.0,Lookback Window=126,Markowitz,WDC,0.0
125,Lookback Window,126.0,Lookback Window=126,Markowitz,ABT,0.0
126,Lookback Window,126.0,Lookback Window=126,Markowitz,GILD,0.0
127,Lookback Window,126.0,Lookback Window=126,Markowitz,UNP,0.0
128,Lookback Window,126.0,Lookback Window=126,Markowitz,ADI,0.0
129,Lookback Window,126.0,Lookback Window=126,Markowitz,TMUS,0.0
130,Lookback Window,126.0,Lookback Window=126,Markowitz,MMM,0.0
131,Lookback Window,126.0,Lookback Window=126,Markowitz,ADBE,0.0
132,Lookback Window,126.0,Lookback Window=126,Markowitz,AXP,0.0
133,Lookback Window,126.0,Lookback Window=126,Markowitz,BA,0.0
134,Lookback Window,126.0,Lookback Window=126,Markowitz,CVX,0.0
135,Lookback Window,126.0,Lookback Window=126,Markowitz,CSCO,0.0
136,Lookback Window,126.0,Lookback Window=126,Markowitz,DD,0.0
137,Lookback Window,126.0,Lookback Window=126,Markowitz,XOM,0.0
138,Lookback Window,126.0,Lookback Window=126,Markowitz,FDX,0.0
139,Lookback Window,126.0,Lookback Window=126,Markowitz,GS,0.10598
140,Lookback Window,126.0,Lookback Window=126,Markowitz,GM,0.0
141,Lookback Window,126.0,Lookback Window=126,Markowitz,HAS,0.0
142,Lookback Window,126.0,Lookback Window=126,Markowitz,JBL,0.0
143,Lookback Window,126.0,Lookback Window=126,Markowitz,KMB,0.13262
144,Lookback Window,126.0,Lookback Window=126,Markowitz,KLAC,0.0
145,Lookback Window,126.0,Lookback Window=126,Markowitz,LOW,0.0
146,Lookback Window,126.0,Lookback Window=126,Markowitz,MKC,0.0
147,Lookback Window,126.0,Lookback Window=126,Markowitz,NEM,0.0
148,Lookback Window,126.0,Lookback Window=126,Markowitz,OLN,0.26635
149,Lookback Window,126.0,Lookback Window=126,Markowitz,PH,0.0
150,Lookback Window,126.0,Lookback Window=126,Black-Litterman,PPG,0.0
151,Lookback Window,126.0,Lookback Window=126,Black-Litterman,DELL,0.0
152,Lookback Window,126.0,Lookback Window=126,Black-Litterman,QCOM,0.01072
153,Lookback Window,126.0,Lookback Window=126,Black-Litterman,AMAT,0.0
154,Lookback Window,126.0,Lookback Window=126,Black-Litterman,MRK,0.01411
155,Lookback Window,126.0,Lookback Window=126,Black-Litterman,AME,0.0
156,Lookback Window,126.0,Lookback Window=126,Black-Litterman,PG,0.0
157,Lookback Window,126.0,Lookback Window=126,Black-Litterman,CL,0.0
158,Lookback Window,126.0,Lookback Window=126,Black-Litterman,V,0.12997
159,Lookback Window,126.0,Lookback Window=126,Black-Litterman,MA,0.05369
160,Lookback Window,126.0,Lookback Window=126,Black-Litterman,MU,0.0
161,Lookback Window,126.0,Lookback Window=126,Black-Litterman,T,0.0
162,Lookback Window,126.0,Lookback Window=126,Black-Litterman,JPM,0.0457
163,Lookback Window,126.0,Lookback Window=126,Black-Litterman,JNJ,0.0069
164,Lookback Window,126.0,Lookback Window=126,Black-Litterman,INTC,0.05148
165,Lookback Window,126.0,Lookback Window=126,Black-Litterman,GE,0.17228
166,Lookback Window,126.0,Lookback Window=126,Black-Litterman,MS,0.0
167,Lookback Window,126.0,Lookback Window=126,Black-Litterman,RTX,0.0
168,Lookback Window,126.0,Lookback Window=126,Black-Litterman,TXN,0.0
169,Lookback Window,126.0,Lookback Window=126,Black-Litterman,IBM,0.0
170,Lookback Window,126.0,Lookback Window=126,Black-Litterman,SPGI,0.03585
171,Lookback Window,126.0,Lookback Window=126,Black-Litterman,LMT,0.02104
172,Lookback Window,126.0,Lookback Window=126,Black-Litterman,ADP,0.0
173,Lookback Window,126.0,Lookback Window=126,Black-Litterman,COF,0.0
174,Lookback Window,126.0,Lookback Window=126,Black-Litterman,WDC,0.00709
175,Lookback Window,126.0,Lookback Window=126,Black-Litterman,ABT,0.02658
176,Lookback Window,126.0,Lookback Window=126,Black-Litterman,GILD,0.01756
177,Lookback Window,126.0,Lookback Window=126,Black-Litterman,UNP,0.0
178,Lookback Window,126.0,Lookback Window=126,Black-Litterman,ADI,0.0
179,Lookback Window,126.0,Lookback Window=126,Black-Litterman,TMUS,0.04322
180,Lookback Window,126.0,Lookback Window=126,Black-Litterman,MMM,0.0
181,Lookback Window,126.0,Lookback Window=126,Black-Litterman,ADBE,0.10026
182,Lookback Window,126.0,Lookback Window=126,Black-Litterman,AXP,0.0
183,Lookback Window,126.0,Lookback Window=126,Black-Litterman,BA,0.00104
184,Lookback Window,126.0,Lookback Window=126,Black-Litterman,CVX,0.0
185,Lookback Window,126.0,Lookback Window=126,Black-Litterman,CSCO,0.0
186,Lookback Window,126.0,Lookback Window=126,Black-Litterman,DD,0.0
187,Lookback Window,126.0,Lookback Window=126,Black-Litterman,XOM,0.01009
188,Lookback Window,126.0,Lookback Window=126,Black-Litterman,FDX,0.0
189,Lookback Window,126.0,Lookback Window=126,Black-Litterman,GS,0.0
190,Lookback Window,126.0,Lookback Window=126,Black-Litterman,GM,0.0
191,Lookback Window,126.0,Lookback Window=126,Black-Litterman,HAS,0.0
192,Lookback Window,126.0,Lookback Window=126,Black-Litterman,JBL,0.0
193,Lookback Window,126.0,Lookback Window=126,Black-Litterman,KMB,0.07304
194,Lookback Window,126.0,Lookback Window=126,Black-Litterman,KLAC,0.0
195,Lookback Window,126.0,Lookback Window=126,Black-Litterman,LOW,0.07233
196,Lookback Window,126.0,Lookback Window=126,Black-Litterman,MKC,0.06178
197,Lookback Window,126.0,Lookback Window=126,Black-Litterman,NEM,0.04527
198,Lookback Window,126.0,Lookback Window=126,Black-Litterman,OLN,0.0
199,Lookback Window,126.0,Lookback Window=126,Black-Litterman,PH,0.0
200,Lookback Window,126.0,Lookback Window=126,Risk-Parity,PPG,0.016256380084386953
201,Lookback Window,126.0,Lookback Window=126,Risk-Parity,DELL,0.015877353381212087
202,Lookback Window,126.0,Lookback Window=126,Risk-Parity,QCOM,0.012943117644252869
203,Lookback Window,126.0,Lookback Window=126,Risk-Parity,AMAT,0.00937507647423405
204,Lookback Window,126.0,Lookback Window=126,Risk-Parity,MRK,0.03150828900270116
205,Lookback Window,126.0,Lookback Window=126,Risk-Parity,AME,0.014475863051654693
206,Lookback Window,126.0,Lookback Window=126,Risk-Parity,PG,0.03139369127940765
207,Lookback Window,126.0,Lookback Window=126,Risk-Parity,CL,0.04251593358934823
208,Lookback Window,126.0,Lookback Window=126,Risk-Parity,V,0.015681069083198
