,Parameter,Parameter Value,Scenario,Model,Ticker,Weight
705,Lookback Window,504.0,Lookback Window=504,Risk-Parity,AME,0.017083463736756323
706,Lookback Window,504.0,Lookback Window=504,Risk-Parity,PG,0.030321221582102386
707,Lookback Window,504.0,Lookback Window=504,Risk-Parity,CL,0.03204287222378589
708,Lookback Window,504.0,Lookback Window=504,Risk-Parity,V,0.018515120549271003
709,Lookback Window,504.0,Lookback Window=504,Risk-Parity,MA,0.016679466110001675
710,Lookback Window,504.0,Lookback Window=504,Risk-Parity,MU,0.014069026457159245
711,Lookback Window,504.0,Lookback Window=504,Risk-Parity,T,0.024926468956388302
712,Lookback Window,504.0,Lookback Window=504,Risk-Parity,JPM,0.015669585161157892
713,Lookback Window,504.0,Lookback Window=504,Risk-Parity,JNJ,0.03132584042870902
714,Lookback Window,504.0,Lookback Window=504,Risk-Parity,INTC,0.01699149724722244
715,Lookback Window,504.0,Lookback Window=504,Risk-Parity,GE,0.015015430556028154
716,Lookback Window,504.0,Lookback Window=504,Risk-Parity,MS,0.014080076937687135
717,Lookback Window,504.0,Lookback Window=504,Risk-Parity,RTX,0.01563188182971757
718,Lookback Window,504.0,Lookback Window=504,Risk-Parity,TXN,0.0179128412478172
719,Lookback Window,504.0,Lookback Window=504,Risk-Parity,IBM,0.01968081740234412
720,Lookback Window,504.0,Lookback Window=504,Risk-Parity,SPGI,0.01898163932680712
721,Lookback Window,504.0,Lookback Window=504,Risk-Parity,LMT,0.024247741615348612
722,Lookback Window,504.0,Lookback Window=504,Risk-Parity,ADP,0.01855071226098403
723,Lookback Window,504.0,Lookback Window=504,Risk-Parity,COF,0.0123817520526906
724,Lookback Window,504.0,Lookback Window=504,Risk-Parity,WDC,0.012765406229179885
725,Lookback Window,504.0,Lookback Window=504,Risk-Parity,ABT,0.02461687812924259
726,Lookback Window,504.0,Lookback Window=504,Risk-Parity,GILD,0.03795260360713304
727,Lookback Window,504.0,Lookback Window=504,Risk-Parity,UNP,0.01904907036201576
728,Lookback Window,504.0,Lookback Window=504,Risk-Parity,ADI,0.01613848416191254
729,Lookback Window,504.0,Lookback Window=504,Risk-Parity,TMUS,0.02484519028928109
730,Lookback Window,504.0,Lookback Window=504,Risk-Parity,MMM,0.023592785401273096
731,Lookback Window,504.0,Lookback Window=504,Risk-Parity,ADBE,0.020375500261963102
732,Lookback Window,504.0,Lookback Window=504,Risk-Parity,AXP,0.0136314402387428
733,Lookback Window,504.0,Lookback Window=504,Risk-Parity,BA,0.01179235620543794
734,Lookback Window,504.0,Lookback Window=504,Risk-Parity,CVX,0.014773351641585029
735,Lookback Window,504.0,Lookback Window=504,Risk-Parity,CSCO,0.020096689325182198
736,Lookback Window,504.0,Lookback Window=504,Risk-Parity,DD,0.01630589516030664
737,Lookback Window,504.0,Lookback Window=504,Risk-Parity,XOM,0.01750003932728264
738,Lookback Window,504.0,Lookback Window=504,Risk-Parity,FDX,0.017869031290446025
739,Lookback Window,504.0,Lookback Window=504,Risk-Parity,GS,0.01578580000523959
740,Lookback Window,504.0,Lookback Window=504,Risk-Parity,GM,0.015056671820265826
741,Lookback Window,504.0,Lookback Window=504,Risk-Parity,HAS,0.018522119309277982
742,Lookback Window,504.0,Lookback Window=504,Risk-Parity,JBL,0.014161121841615035
743,Lookback Window,504.0,Lookback Window=504,Risk-Parity,KMB,0.036937779203492276
744,Lookback Window,504.0,Lookback Window=504,Risk-Parity,KLAC,0.013651409486442442
745,Lookback Window,504.0,Lookback Window=504,Risk-Parity,LOW,0.017553092570564897
746,Lookback Window,504.0,Lookback Window=504,Risk-Parity,MKC,0.030698533601229646
747,Lookback Window,504.0,Lookback Window=504,Risk-Parity,NEM,0.047032108035671656
748,Lookback Window,504.0,Lookback Window=504,Risk-Parity,OLN,0.012915313340459545
749,Lookback Window,504.0,Lookback Window=504,Risk-Parity,PH,0.013441167018677832
750,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),PPG,0.012251340658814622
751,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),DELL,0.0759978220577422
752,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),QCOM,0.003606602968539402
753,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),AMAT,0.18549765443470378
754,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),MRK,0.014624145069685523
755,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),AME,0.028158412378678048
756,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),PG,0.0018242082350373894
757,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),CL,0.011946500475837604
758,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),V,0.00906882452468563
759,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),MA,0.04290691712125789
760,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),MU,0.00220819406850811
761,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),T,0.010139231639782916
762,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),JPM,0.01207129620188739
763,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),JNJ,0.00870711515025071
764,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),INTC,0.0033385712064063875
765,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),GE,0.06743338651018621
766,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),MS,0.00232542002880006
767,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),RTX,0.00025646579224331657
768,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),TXN,0.015253683973301964
769,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),IBM,0.030462180499800626
770,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),SPGI,0.03656748999978449
771,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),LMT,0.00098512060193479
772,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),ADP,0.025463029544105256
773,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),COF,0.01565443451409303
774,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),WDC,0.008592215832632397
775,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),ABT,0.009176718467746056
776,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),GILD,0.022430802869072147
777,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),UNP,0.009452628774331555
778,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),ADI,0.02260207449206237
779,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),TMUS,0.0015251431965082175
780,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),MMM,0.026165977844325724
781,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),ADBE,0.015225107008797714
782,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),AXP,0.031219311664476307
783,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),BA,0.01572086044345872
784,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),CVX,0.006540526094382404
785,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),CSCO,0.020559652309100358
786,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),DD,0.004903801042848701
787,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),XOM,0.0012366899664092259
788,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),FDX,0.013961666255546267
789,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),GS,0.01189885818081043
790,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),GM,0.04374271550858036
791,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),HAS,0.01464091248936894
792,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),JBL,0.008500236687065132
793,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),KMB,0.005726754998990304
794,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),KLAC,0.02076387822738644
795,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),LOW,0.006748737072521607
796,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),MKC,0.02217511612302898
797,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),NEM,0.0027424878758304503
798,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),OLN,0.03271178319359233
799,Maximum Weight,0.2,Maximum Weight=0.2,Simulated (Max Sharpe Ratio),PH,0.0042872957250597084
800,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,PPG,0.02
801,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,DELL,0.02
802,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,QCOM,0.02
803,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,AMAT,0.02
804,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,MRK,0.02
805,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,AME,0.02
806,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,PG,0.02
807,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,CL,0.02
808,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,V,0.02
809,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,MA,0.02
810,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,MU,0.02
811,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,T,0.02
812,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,JPM,0.02
813,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,JNJ,0.02
814,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,INTC,0.02
815,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,GE,0.02
816,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,MS,0.02
817,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,RTX,0.02
818,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,TXN,0.02
819,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,IBM,0.02
820,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,SPGI,0.02
821,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,LMT,0.02
822,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,ADP,0.02
823,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,COF,0.02
824,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,WDC,0.02
825,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,ABT,0.02
826,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,GILD,0.02
827,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,UNP,0.02
828,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,ADI,0.02
829,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,TMUS,0.02
830,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,MMM,0.02
831,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,ADBE,0.02
832,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,AXP,0.02
833,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,BA,0.02
834,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,CVX,0.02
835,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,CSCO,0.02
836,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,DD,0.02
837,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,XOM,0.02
838,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,FDX,0.02
839,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,GS,0.02
840,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,GM,0.02
841,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,HAS,0.02
842,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,JBL,0.02
843,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,KMB,0.02
844,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,KLAC,0.02
845,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,LOW,0.02
846,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,MKC,0.02
847,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,NEM,0.02
848,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,OLN,0.02
849,Maximum Weight,0.2,Maximum Weight=0.2,Equal-Weight,PH,0.02
850,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,PPG,0.00722
851,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,DELL,0.2
852,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,QCOM,0.0
853,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,AMAT,0.2
854,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,MRK,0.0
855,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,AME,0.0
856,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,PG,0.0
857,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,CL,0.0
858,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,V,0.0
859,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,MA,0.0
860,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,MU,0.0
861,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,T,0.0
862,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,JPM,0.0
863,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,JNJ,0.0
864,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,INTC,0.0
865,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,GE,0.0
866,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,MS,0.05182
867,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,RTX,0.0
868,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,TXN,0.0
869,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,IBM,0.0
870,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,SPGI,0.0
871,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,LMT,0.0
872,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,ADP,0.0
873,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,COF,0.0
874,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,WDC,0.0
875,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,ABT,0.0
876,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,GILD,0.0
877,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,UNP,0.0
878,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,ADI,0.0
879,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,TMUS,0.0
880,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,MMM,0.0
881,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,ADBE,0.0
882,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,AXP,0.0
883,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,BA,0.0
884,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,CVX,0.0
885,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,CSCO,0.0
886,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,DD,0.0
887,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,XOM,0.0
888,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,FDX,0.12335
889,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,GS,0.0
890,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,GM,0.17569
891,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,HAS,0.0
892,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,JBL,0.0
893,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,KMB,0.0
894,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,KLAC,0.0
895,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,LOW,0.2
896,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,MKC,0.0
897,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,NEM,0.0
898,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,OLN,0.03244
899,Maximum Weight,0.2,Maximum Weight=0.2,Markowitz,PH,0.00948
900,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,PPG,0.0
901,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,DELL,0.03340933181336373
902,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,QCOM,0.021599568008639825
903,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,AMAT,0.0
904,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,MRK,0.020189596208075835
905,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,AME,0.0
906,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,PG,0.0
907,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,CL,0.0
908,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,V,0.1594868102637947
909,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,MA,0.09093818123637526
910,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,MU,0.05113897722045558
911,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,T,0.0
912,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,JPM,0.0
913,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,JNJ,0.0
914,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,INTC,0.01703965920681586
915,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,GE,0.1569568608627827
916,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,MS,0.0
917,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,RTX,0.0
918,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,TXN,0.0
919,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,IBM,0.0
920,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,SPGI,0.0738785224295514
921,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,LMT,0.0
922,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,ADP,0.0
923,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,COF,0.0
924,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,WDC,0.0
925,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,ABT,0.005729885402291953
926,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,GILD,0.01613967720645587
927,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,UNP,0.0
928,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,ADI,0.0
929,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,TMUS,0.04048919021619567
930,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,MMM,0.0
931,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,ADBE,0.11805763884722303
932,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,AXP,0.0
933,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,BA,0.005129897402051958
934,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,CVX,0.0
935,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,CSCO,0.0
936,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,DD,0.0
937,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,XOM,0.0
938,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,FDX,0.0
939,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,GS,0.0
940,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,GM,0.0
941,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,HAS,0.0
942,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,JBL,0.0
943,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,KMB,0.08009839803203936
944,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,KLAC,0.0
945,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,LOW,0.020449591008179835
946,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,MKC,0.04234915301693965
947,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,NEM,0.04691906161876762
948,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,OLN,0.0
949,Maximum Weight,0.2,Maximum Weight=0.2,Black-Litterman,PH,0.0
950,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,PPG,0.015865521817698673
951,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,DELL,0.01840907479015111
952,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,QCOM,0.015482686772706986
953,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,AMAT,0.012009051503759888
954,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,MRK,0.03211406332843486
955,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,AME,0.016980319601065136
956,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,PG,0.037799592416640715
957,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,CL,0.04331300692031018
958,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,V,0.01866977846607881
959,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,MA,0.0155048458123099
960,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,MU,0.011900750244455534
961,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,T,0.025515401928349512
962,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,JPM,0.015151701254201606
963,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,JNJ,0.0349923384524694
964,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,INTC,0.01667566084970474
965,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,GE,0.01282955436701264
966,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,MS,0.013769813463829573
967,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,RTX,0.012602804537171353
968,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,TXN,0.016018447168711415
969,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,IBM,0.01728273155474373
970,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,SPGI,0.023684232907650097
971,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,LMT,0.025209213560091724
972,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,ADP,0.019609801570974927
973,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,COF,0.010756173398914295
974,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,WDC,0.011470445936297041
975,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,ABT,0.02836753115488068
976,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,GILD,0.031506110545582104
977,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,UNP,0.018053896754415922
978,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,ADI,0.015008707639458232
979,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,TMUS,0.022928281065205516
980,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,MMM,0.02163033921714158
981,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,ADBE,0.024943826415417675
982,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,AXP,0.012199320291734823
983,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,BA,0.008954878392627492
984,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,CVX,0.013598308874144649
985,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,CSCO,0.019523187035184752
986,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,DD,0.0142509503165909
987,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,XOM,0.012863434778466949
988,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,FDX,0.014737623365755955
989,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,GS,0.014973776858124222
990,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,GM,0.01242991459508039
991,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,HAS,0.019985986531873595
992,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,JBL,0.011400970721071229
993,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,KMB,0.056790263524080044
994,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,KLAC,0.012775877279302916
995,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,LOW,0.023169380326886896
996,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,MKC,0.037240117028611255
997,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,NEM,0.03666615987997123
998,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,OLN,0.009481299809441656
999,Maximum Weight,0.2,Maximum Weight=0.2,Risk-Parity,PH,0.012902844975215384
1000,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),PPG,0.09793396790293253
1001,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),DELL,0.12043812079169251
1002,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),QCOM,0.013808388178345019
1003,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),AMAT,0.03130184936147195
1004,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),MRK,0.012006359208828997
1005,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),AME,5.3620465659333526e-05
1006,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),PG,0.019780749981824126
1007,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),CL,0.0013910721234982716
1008,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),V,0.02939737826009112
1009,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),MA,0.011278788008326048
1010,Maximum Weight,0.3,Maximum Weight=0.3,Simulated (Max Sharpe Ratio),MU,0.024053886774058356
