,Model,Days,Mean Absolute Gross Return Error,Maximum Absolute Gross Return Error,Cumulative Gross Return,Cumulative Net Return,Arithmetic Gross Asset Contribution,Arithmetic Transaction Cost Drag
0,Simulated (Max Sharpe Ratio),1420,8.261887787269382e-19,1.3877787807814457e-17,2.4015753034669474,2.3808589866702743,1.3391889758472837,7595.476888703053
1,Equal-Weight,1420,6.188351132390854e-19,6.938893903907228e-18,1.9063247804948649,1.9005465265309223,1.1503977798122715,1621.0185411854445
2,Markowitz,1420,5.421058582593564e-19,1.3877787807814457e-17,1.6796725107948705,1.6533635543685383,1.1565707035776818,10377.536661517996
3,Black-Litterman,1420,5.914986161216418e-19,6.938893903907228e-18,1.6261685345774692,1.6112101217011983,1.0490921545575045,6963.825911663253
4,Risk-Parity,1420,5.486148889075529e-19,1.3877787807814457e-17,1.368595991367945,1.3635640576398265,0.9189796329874915,1651.1944188694329
