,Metric,Value
0,Annual Return,0.14867714509147384
1,Annual Volatility,0.2010509377875804
2,Sharpe Ratio,0.4908066889781474
3,Sortino Ratio,0.6477945691551249
4,Maximum Drawdown,-0.4663075233080559
5,Calmar Ratio,0.3188392587722706
6,"Value at Risk (VaR, 95%)",-0.018566505904622447
7,Conditional VaR (95%),-0.029140108226474143
