,Return,Volatility,Sharpe
count,1000000.0,1000000.0,1000000.0
mean,0.10086680237210163,0.20077730263227941,0.25353725997097043
std,0.0037123443668450207,0.00613930238764703,0.019438885800745136
min,0.08351125310108728,0.1724349059339235,0.16066474887038687
25%,0.09836779846183266,0.1966085844593351,0.24033966729179362
50%,0.10086504683891216,0.20068295829254848,0.2533942676496405
75%,0.10337113820763161,0.2048545613236429,0.2665602100212523
max,0.11981738592097123,0.2360108542823894,0.3530728512610056
