,Metric,Value
0,Return,0.14602435078541942
1,Volatility,0.17733304304170724
2,Sharpe Ratio,0.541491586330221
3,Sortino Ratio,0.7059146052254095
4,Calmar Ratio,0.3551477316326618
5,Max Drawdown,-0.4111650949145188
6,"Value-at-Risk (VaR, 95%)",-0.016288614278291768
7,"Conditional VaR (CVaR, 95%)",-0.025727248252843997
