Date,ABT,ADBE,ADI,ADP,AMAT,AME,AXP,BA,CL,COF,CSCO,CVX,DD,DELL,FDX,GE,GILD,GM,GS,HAS,IBM,INTC,JBL,JNJ,JPM,KLAC,KMB,LMT,LOW,MA,MKC,MMM,MRK,MS,MU,NEM,OLN,PG,PH,PPG,QCOM,RTX,SPGI,SPY,T,TMUS,TXN,UNP,V,WDC,XOM,^GSPC
2000-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02,-1.5439531967328501,-0.7329810477159434,1.482030165645111,-2.6558237184464377,2.5644656794527982,-0.08285225935901476,1.532921220768789,3.131896572893659,-0.2880729294881595,-2.895942964636896,1.3303978257840687,-0.35307221267908284,-3.607506258249802,,-1.8335251557735388,-3.6699190821984935,-1.81364712790455,,1.0507329488971024,-3.910975252455256,-0.5479210988678022,2.701544490398298,-0.1402259955935032,-1.846732912965602,3.546159715250651,2.773991496634932,-1.3815129809463669,-1.7026867599255178,-4.092323927666436,,-3.4174767358027602,-0.2839799281294274,3.350783656790407,-0.4911756526382005,-2.339045471755178,-2.127136214842811,-1.1425744537864224,-1.4419215102043863,-2.565695703942505,-2.334004546314099,-1.6082546245607678,-3.7850557151808015,-0.07024870382357255,-0.9327725393031447,-1.7941800287274692,,3.7274042232602618,-2.67588601320413,,2.0348268374532434,2.2611424108590037,-1.3874445488412053
2000-02-03,-0.42739172470280234,2.470515218611736,3.897331991681622,-1.0613129440873263,4.151749560082819,-0.3412178269167009,2.5890489671005064,2.357959857463938,-0.12276374655007158,-2.0655600540214967,3.3101021016319407,-0.9290416622595117,-2.9388875537615005,,-0.6955472787928115,-0.9537469015869432,-1.539644843768854,,1.0474163442313391,-0.9865625581952402,1.6492268528592904,4.311035422960363,2.4302906398863158,-1.5456245303829332,4.48159348221412,3.7754917690329437,-0.4692094704303588,-2.7080795272360905,-2.9568339612388876,,-2.0972506684303047,0.5198449313559792,4.17661370245503,1.7423665999799576,-1.010992565090833,-0.5453315902095617,-1.4195574869052858,-1.2132902201673914,-1.9853249129808614,-1.5459102714915038,-0.9106938709735707,-3.2109299074882833,1.5349861449726543,1.0868116540664783,-0.8203360073975727,,6.296687062776629,-2.2135489495033176,,1.373013256903456,2.330614569066756,1.0894964143937909
2000-02-04,0.8056800018056253,3.130454122980753,4.468021097084836,-1.1250576001934438,4.53548974017728,-0.6630215765022143,3.22376865646248,1.1573537856435097,-1.0034970890338486,-1.8773609483251934,3.945332321164767,-2.9418024025698952,-4.691422055529469,,-1.3125478864671023,-0.332912308694528,-0.9898661859667854,,2.1652788553916666,-0.6601805530291808,0.04806231502523442,4.25920163420191,2.001900666140761,-2.232900823886039,4.132052075300538,4.56173370892406,-0.8306971829454414,-2.1318321475079047,-2.10552256972152,,-0.9583667193799904,-1.0018894083818117,2.835583270589301,2.7128020479388923,-1.1178060013138722,1.3452782526839455,-4.1574244099903,-1.4603136424598318,-2.3205869093640574,-3.318105374011888,-0.6944412303460709,-3.4370766877286236,1.2863724907585665,0.8555238892619764,-1.1951664083817162,,6.544426364552882,-1.4861408737716728,,1.792677882105208,0.11221053305369937,0.9619935032475908
