Ticker,PPG,DELL,QCOM,AMAT,MRK,AME,PG,CL,V,MA,MU,T,JPM,JNJ,INTC,GE,MS,RTX,TXN,IBM,SPGI,LMT,ADP,COF,WDC,ABT,GILD,UNP,ADI,TMUS,MMM,ADBE,AXP,BA,CVX,CSCO,DD,XOM,FDX,GS,GM,HAS,JBL,KMB,KLAC,LOW,MKC,NEM,OLN,PH
IBM,0.031743669323975425,0.012774596762361503,0.044626239494886956,0.053738712626802854,0.01928954228472518,0.0312402326042396,0.015470690977346878,0.016421612922477156,0.021749708420656648,0.02586184018637782,0.05825783240838758,0.025889123576539216,0.045378700023314955,0.0164051861926069,0.04857570895141372,0.03955425375485177,0.054206788146318845,0.032365807091458094,0.04545325968738201,0.06770717522868645,0.030330547702251343,0.019666069726674017,0.02884707684611854,0.047970001937582676,0.049444436672508446,0.0196783869991573,0.026572383797187245,0.029258112493723794,0.04751077771412031,0.019624222396019384,0.02744088578396077,0.045420224895184484,0.04223614439112828,0.03373288743956525,0.02757906137286175,0.047753210556096486,0.037617469412266485,0.027118538965816563,0.03185945195075887,0.04286404243376555,0.017989160949496975,0.027957504454759946,0.05338993866038072,0.014497499272575442,0.05333477626818289,0.03175977528719069,0.015361280661609682,0.00980714227015518,0.0384835788745801,0.039814794947295576
SPGI,0.04190392985640641,0.01373133758756727,0.04034092454565516,0.0469638195008216,0.027390510406708295,0.040700735157387966,0.02125356263529678,0.022127542643491507,0.03330650013382567,0.03871410517597151,0.05798803812443344,0.026842031478517915,0.05209147410784837,0.02094226195169839,0.04150426438102802,0.04187104403030335,0.07217932056186806,0.03790523334597211,0.043099225387802975,0.030330547702251343,0.08792079526468037,0.024600743294052478,0.035565814831173055,0.0629018342814767,0.05212116885122025,0.026252917064690774,0.028748571052785426,0.037959845608786104,0.044407336072565445,0.029685199946166408,0.03235764505976485,0.047319744964035744,0.05481502140456499,0.04265994347106588,0.03495672930620026,0.04009948571863305,0.04551212568559723,0.031055653586476082,0.03957063082631066,0.05130809774003039,0.021044794280318194,0.03301823979790522,0.05480833413402237,0.019270326666511326,0.04803719509850687,0.043591903475034076,0.020003788678045996,0.015661285783875847,0.04814776635605917,0.0468983710189298
LMT,0.022815377523553833,0.005460358129801863,0.018185122819657704,0.02326384553538805,0.018949339373054715,0.024549958074278472,0.016866424552118366,0.016383921807783603,0.017264406549444118,0.020674942355402876,0.026507526174797513,0.019739685120628632,0.028270409316012143,0.01620932953264234,0.022008994447081247,0.02613828828366992,0.03453842687472782,0.03026069115812738,0.019805965715579854,0.019666069726674017,0.024600743294052478,0.0628271545738868,0.021711120601744446,0.03093485853000429,0.02298955836807123,0.018595874148617637,0.01901415416329879,0.023509119174366575,0.018906508808890103,0.01743744012277057,0.022010102093376,0.023074866727960403,0.02829073940243052,0.035306704223166924,0.023019587781339574,0.021071168265144796,0.027096987044473643,0.022818865925439115,0.023255615166484857,0.02443965774525171,0.011373606175271606,0.01697672304159391,0.024483120439666002,0.015701359536678495,0.0236008176802433,0.023367942427195924,0.0150957317194158,0.012477331423833914,0.03018456318564163,0.029606038371728937
ADP,0.03394672812077213,0.011793191719844772,0.03748538758028988,0.04425314713933422,0.023972483036198575,0.03134429893685689,0.019567631860818023,0.020230455275037296,0.02489267166171501,0.03006256837565193,0.04605732978922607,0.024997880893073796,0.04049797112038314,0.01954542358815551,0.040552016338050945,0.03643646015750841,0.05015634609341548,0.0340128083533136,0.03782130342806251,0.02884707684611854,0.035565814831173055,0.021711120601744446,0.061441843773803254,0.04743800934799134,0.044171402455919585,0.02390438201676607,0.02682982886321631,0.030378114375763734,0.041367867212851364,0.023800027932035405,0.02924646422395998,0.0419711240467157,0.042790622725208324,0.0377153032633611,0.029330478418201533,0.038037747093038914,0.037776841845798076,0.027872539592803204,0.03247239306307301,0.03805526271459441,0.019091131949396933,0.028068784321696093,0.04475390689010812,0.018605723641161167,0.04306552811253799,0.03462250791875112,0.019486340646147085,0.011055682266607782,0.038018535283473695,0.03906975119102706
COF,0.06451350279072318,0.022141043797376525,0.0675243105072104,0.08012494514890256,0.03402189817810878,0.05988002645787777,0.0248692275139031,0.02280918903097846,0.04642578244252319,0.05565053661955761,0.0922073251525367,0.0437404981440862,0.11392003893292854,0.02470545238314983,0.07034302657303623,0.07953088850778638,0.12577624317838565,0.06080338313903264,0.06569328345293131,0.047970001937582676,0.0629018342814767,0.03093485853000429,0.04743800934799134,0.20750718243163743,0.08479318392618623,0.030048340474358056,0.042220095915664196,0.05810489322865156,0.07315669921224885,0.03871046067378432,0.05119869313325489,0.06844678784359785,0.11614252452666055,0.06990809615504097,0.05391589853574985,0.06307792408936037,0.07607525579352606,0.048799970745781414,0.06701527045832129,0.09836960417427316,0.03869196134993115,0.051960079595981215,0.09463358195812409,0.022834414168687145,0.07736518274252896,0.06602486853757997,0.021904092488587643,0.01587711474681998,0.082834548420512,0.07731402910250752
WDC,0.052837998078785815,0.033939383288984055,0.08070280862988412,0.10809179778483793,0.02706138815690302,0.057566888105685464,0.01720566369985911,0.015780053296801957,0.03702957170949616,0.044559611314635726,0.14290050107017674,0.03431653570914432,0.07728581474639251,0.018175076791568764,0.08876386053689328,0.06311561534261732,0.09584902179809772,0.04762192224708331,0.08505050225881639,0.049444436672508446,0.05212116885122025,0.02298955836807123,0.044171402455919585,0.08479318392618623,0.3208317217258945,0.022288201516432522,0.044372976911700564,0.048280730466745796,0.09658213619524385,0.03869787302226268,0.04098980338946769,0.07873017205540779,0.07422849923418931,0.061587718049312824,0.04328656741704775,0.07710024918440898,0.06101631498390042,0.040135296243370235,0.06051874353020546,0.07837575594730894,0.036785787001765734,0.04854094072350424,0.11295605087055982,0.01495353767127749,0.10410733712897527,0.05601287526522199,0.014841562818126416,0.01723907414721909,0.07238923442737223,0.06948716687441162
ABT,0.024206008227565183,0.007967213658139042,0.022915168781254852,0.0251946983882163,0.02787030893953027,0.02183997504726628,0.019584437285923028,0.01936156475550652,0.01893508433518273,0.021994912160950876,0.026017759217796723,0.020813567538478902,0.02793874192821356,0.023657972476394895,0.025281585112243085,0.024475098546938343,0.03483308083521076,0.02279833225344029,0.020904961432301326,0.0196783869991573,0.026252917064690774,0.018595874148617637,0.02390438201676607,0.030048340474358056,0.022288201516432522,0.05787183174819486,0.027582337595324257,0.021213970078145336,0.023414715926234533,0.01646621555753805,0.0215286031654447,0.026812872034294135,0.02854352009393084,0.025603167442717522,0.020513464708709923,0.022091014556307208,0.02724133367315289,0.02009509946029306,0.022730240446555864,0.02538266787430009,0.013583359046789078,0.01973186979976653,0.02234845859144361,0.018028327379513685,0.022835429576546714,0.023588663391028632,0.018927765913578178,0.009859416469305644,0.02705829918267427,0.025921334113933495
GILD,0.027588957800519186,0.005761173116060461,0.04406592141001802,0.049339286886087054,0.027649746155882615,0.029570246006585445,0.016182204943249873,0.017157882327870102,0.017800347561217983,0.021800811335949185,0.0492528481365955,0.023732598947046008,0.039070779682989755,0.02232911571594102,0.042642863613134095,0.03143797949512854,0.053291467222598705,0.02925733696839205,0.04051874660367386,0.026572383797187245,0.028748571052785426,0.01901415416329879,0.02682982886321631,0.042220095915664196,0.044372976911700564,0.027582337595324257,0.14693964727910316,0.025873720470804808,0.047861519776367906,0.02032776962319113,0.027338480591437557,0.04951936992586122,0.03771313934011247,0.030956529366398228,0.02298780291632982,0.04314036132388398,0.030265279011973085,0.02303887652924326,0.028706016701358437,0.042098260001564865,0.012322411486994658,0.024756063745951747,0.04781386567327661,0.0150338687716084,0.05033632785880989,0.02968013293039609,0.0191833632590561,0.007741923012958163,0.036075135364274126,0.0325693040716114
UNP,0.043319735008099894,0.012484171755283872,0.03879236686406143,0.04360498474420823,0.022461609046489337,0.040161070056890256,0.018272056470050264,0.018526323938863064,0.028031713484481996,0.03429685238927016,0.050844751381043,0.02510439513992543,0.05058084761649518,0.017655264313602422,0.03860397127070545,0.04117974733700401,0.06108960347398603,0.03867322766859937,0.03902665450068344,0.029258112493723794,0.037959845608786104,0.023509119174366575,0.030378114375763734,0.05810489322865156,0.048280730466745796,0.021213970078145336,0.025873720470804808,0.07679258507825493,0.04060846171407811,0.02632010311135598,0.033762332334564146,0.03799204232945824,0.050168344846231096,0.043034726490747514,0.03593975003420241,0.03694894555591659,0.05076196510179165,0.03210749331953443,0.04765172579810238,0.04810994876182788,0.023259566599647095,0.03231556715122864,0.04937085598859005,0.017781757886930986,0.04353778629243928,0.04011811135733284,0.01864018416937792,0.01492441530738277,0.05141841326962122,0.05176291396642307
ADI,0.04700973341610494,0.021982126730907908,0.09089613956816149,0.12357472682453755,0.022725512190490828,0.050649810045485986,0.016037652632559823,0.014415271357557255,0.03054731168704988,0.035986582167153607,0.1275133061118093,0.027442083205542592,0.06260568770646635,0.016444913031735495,0.09644298457492251,0.0521683775206227,0.08324726139332417,0.04273961197276432,0.11660650948643547,0.04751077771412031,0.044407336072565445,0.018906508808890103,0.041367867212851364,0.07315669921224885,0.09658213619524385,0.023414715926234533,0.047861519776367906,0.04060846171407811,0.16460214284501676,0.027298122670654158,0.03679313464325996,0.08701809156668923,0.06188818211137961,0.04863022461697886,0.03366154434932136,0.08410001073161819,0.05301213626090411,0.030888795001016173,0.04967313507457054,0.0658782459070701,0.02802974413824938,0.04322268259873374,0.10981093776896975,0.014228154118796034,0.12725600759835576,0.04714571762764802,0.01756356199554164,0.009498659306665096,0.06029979427175272,0.05853906845762261
