,Model,OOS Annualized Gross Return,OOS Annualized Net Return,Arithmetic Gross Asset Contribution,Transaction Cost ($),Largest Positive Asset Contribution,Largest Negative Asset Contribution,Number of Positive Contributors,Number of Negative Contributors
0,Simulated (Max Sharpe Ratio),0.2426662255504366,0.24131977751330091,1.339188975847284,7595.476888703053,0.05431655879212576,-0.005812585499412981,44,6
1,Equal-Weight,0.2084460619586015,0.20801933769172543,1.1503977798122715,1621.0185411854445,0.01625790233341224,-0.00143925341035502,48,2
2,Markowitz,0.19115816544380504,0.18907432679329683,1.1565707035776815,10377.536661517996,0.06923361922887183,-0.010660834069135022,20,12
3,Black-Litterman,0.186902365717329,0.1856997972711223,1.0490921545575045,6963.825911663253,0.04279070824200922,-0.00444117252572223,24,9
4,Risk-Parity,0.16535693346685787,0.16491719459657772,0.9189796329874915,1651.1944188694329,0.010037000227650751,-0.002264821461933714,48,2
