Date,ABT,ADBE,ADI,ADP,AMAT,AME,AXP,BA,CL,COF,CSCO,CVX,DD,DELL,FDX,GE,GILD,GM,GS,HAS,IBM,INTC,JBL,JNJ,JPM,KLAC,KMB,LMT,LOW,MA,MKC,MMM,MRK,MS,MU,NEM,OLN,PG,PH,PPG,QCOM,RTX,SPGI,SPY,T,TMUS,TXN,UNP,V,WDC,XOM,^GSPC
2000-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-05,-0.0018385080583941393,0.0,0.0,-0.009615549193034312,-0.03742222655853433,0.0,-0.025398387255020416,0.0,-0.03402074447127579,-0.023087949557006437,-0.003063243412241734,0.0,0.0,0.0,0.0,-0.001735992110054485,-0.008139578293889449,0.0,-0.046827695107373946,-0.04710180560151134,0.0,0.0,-0.0019343119805120823,0.0,-0.006173902625956185,-0.04993957858978404,-0.0049297876979876865,0.0,-0.001184687774321791,0.0,0.0,0.0,0.0,-0.036499929531895514,-0.0034247327783495374,0.0,0.0,-0.019025060984173003,0.0,0.0,-0.03470877690654017,-0.019812131220749096,-0.013452611644147794,0.0,0.0,0.0,-0.02411206831564172,0.0,0.0,-0.06666671159025117,0.0,0.0
2000-01-06,0.0,0.0,-0.0273386004020304,0.0,-0.035863000080426866,-0.0065351940829569966,-0.005542655554812814,0.0,-0.03608249561725063,0.0,-0.019607417673437433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006042639383952331,-0.07246376486923456,-0.017241715952021064,-0.058295975288683355,-0.03384905086514789,0.0,0.0,-0.04271966234774882,0.0,0.0,-0.0035546919157001255,0.0,-0.013129322717446601,0.0,0.0,-0.018000076966971368,0.0,-0.011111316172230379,0.0,0.0,0.0,0.0,-0.13575015058925088,0.0,-0.04035897495529395,-0.016071164247973502,-0.019375592826523347,0.0,-0.050761603029921054,0.0,0.0,-0.02666658355803564,0.0,0.0
2000-01-07,0.0,0.0,-1.1102230246251565e-16,0.0,-0.02754686183586852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002265720489152079,-0.03985489145982468,-0.021551297491362087,-0.019432072065358685,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017505493510700076,0.0,0.0,0.0,-0.047297390881433254,-0.04722294751762457,-0.007497141575251831,0.0,0.0,0.0,-0.0744313808548035,0.0,-0.031390415189481935,0.0,-0.010970017377323171,0.0,-0.04568551342097538,-0.006849335865307005,0.0,0.0,-0.002934632593058595,0.0
2000-01-10,-0.007041889517171218,0.0,0.0,0.0,0.0,0.0,0.0,-0.01410448399666231,0.0,-0.012362753563925688,0.0,-0.026989898500133114,-0.025446173286579943,0.0,-0.021052880804535046,-0.0004135066192065828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025258920786411454,-0.0171818112173453,0.0,0.0,-0.037900780883084906,0.0,0.0,-0.061268937881133634,-0.004866561721059037,-0.029191314214999764,0.0,0.0,-0.050000695330485345,-0.03748126748669511,-0.004828489288330684,-0.01199079931480651,-0.031189092483198455,-0.0165830334155308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11111125929654997,-0.016874137410087253,0.0
2000-01-11,-0.021126139517907094,-0.06877312695250148,-0.041032716689296866,-0.019428466058606708,-0.0440161190617917,-0.028301471067034623,0.0,-0.03244045322823785,0.0,-0.04395594288345528,-0.030164766487349226,-0.035986035791974125,-0.034821318702000004,0.0,-0.03947408853927237,0.0,-0.09140678693737347,0.0,0.0,-0.02527106836611437,0.0,0.0,-0.025640816717376724,-0.02202047794420381,-0.04037790523651108,-0.008578863118591684,-0.02226374375996376,-0.06997131271072987,-0.03160201358845871,0.0,-0.06783383076491023,-0.0218982419467717,-0.025854937064047956,0.0,-0.0268908243702336,0.0,-0.05547244862971101,0.0,-0.03717051471877286,-0.03508785723246732,-0.10875422938903212,-0.023211357762565887,0.0,-0.011966344780184102,-0.013966441768970772,0.0,-0.009334192609073089,0.0,0.0,-0.11111125929654997,-0.013939193857089971,-0.013062511876438365
2000-01-12,-0.03577525483697208,-0.07341994055460577,-0.009926970957336523,-0.028571246131878225,0.0,-0.025156885029276044,-0.005209078974745873,-0.028208501206942738,0.0,-0.03159330648647962,-0.054638368144820704,-0.039446783527558926,-0.01607113127768056,0.0,-0.047368415087125304,0.0,-0.09941003332124321,0.0,-0.005158533761804418,-0.010830681085253313,0.0,0.0,-0.034798544835321965,-0.031087975521956634,-0.03436445969372237,0.0,-0.029684703302562787,-0.01166207529843899,-0.04339368756125794,0.0,-0.06783383076491023,-0.01946505292895595,-0.006672475585296045,0.0,-0.005042022994696471,-0.02209998593757112,-0.05847098895808933,-0.006369792792088824,-0.023980584780005088,-0.020467831259693425,-0.14693396889046828,-0.0009668801911681957,0.0,-0.021795354657896504,-0.0656426835702939,0.0,0.0,-0.020053538676335636,0.0,-0.18888879685793214,-0.019809184616397246,-0.0173915861762739
2000-01-13,-0.04462153434963956,-0.024163430730942403,-0.0066179141472400005,-0.03428593143327663,-0.020167580556649245,-0.0377360160891379,0.0,-0.04372388038452257,0.0,-0.006867975109053348,-0.033010836521368825,-0.030450531879978593,-0.014285714285714235,0.0,-0.010525999617650661,0.0,-0.04970505433217598,0.0,-0.00368434794174588,-0.018050874725683896,-0.01046001093502924,-0.0020549903465350017,-0.047618556608853724,-0.03238276731707879,-0.019759229420277746,0.0,-0.021336033699205004,-0.032070356584582904,-0.05355823547440186,0.0,-0.045952050698430114,-0.01946505292895595,-0.0025018299487264972,0.0,0.0,-0.05524925396746616,-0.06446825209660889,-0.02335481226893632,-0.03597172204468102,0.0,-0.11685332221036304,0.0,0.0,-0.008547591312727976,-0.08798890894942091,0.0,0.0,-0.0026733503296292316,0.0,-0.2333333146151726,0.0,-0.005433535954757596
2000-01-14,-0.023390604809155557,-0.013940326549770066,0.0,-0.04457115019537328,0.0,-0.0471691840207934,0.0,-0.0070516085025270625,-0.02314346123914801,0.0,-0.02048921196963971,-0.03667823108138679,-0.007143012252638803,0.0,-0.019736509031172855,-0.017885929082486207,-0.07160835084935024,0.0,0.0,-0.046931760894436514,0.0,0.0,-0.02197759567869284,-0.029144957276774908,0.0,0.0,-0.028757425807887538,-0.043731818532304345,-0.021934665260030295,0.0,-0.03719884089297365,-0.033456096427502025,-0.010842633467802454,0.0,-0.05939014926680708,-0.08011067183254128,-0.02848595063783166,-0.006369792792088824,-0.04796184545974902,-0.02135913183728655,-0.13343566095482373,-0.022030765171774047,-0.039836631161712543,0.0,-0.06145218088101878,0.0,0.0,-0.014705253013144293,0.0,-0.199999943845518,-0.019750909945143724,0.0
2000-01-18,-0.04462153434963945,-0.04832708997497104,-0.02835938767849777,-0.09942868721093956,-0.0036864999736584414,0.0,-0.04976487357635784,0.0,-0.0279651861411786,-0.09212288038745353,0.0,-0.011073638005992814,-0.06919664507883205,0.0,-0.06973716391117502,-0.03739782031252781,-0.07750583268676381,0.0,0.0,-0.05415184292783626,-0.032393695449404514,-0.009096443332162418,-0.020146165425331097,-0.053756205314792416,-0.038916515451636546,-0.05344214661974178,-0.04916510059720802,-0.06705526815693374,-0.037746350568022,0.0,-0.08971555295012712,-0.05474505381064587,-0.055045833204136585,-0.025944421677016827,-0.05537716964928352,-0.02209998593757112,-0.043478408970706206,-0.006900603384919157,-0.10431667592508487,-0.044660415671149756,-0.14192091370548965,-0.03831370318223781,-0.07150170426895608,-0.007867140905429504,-0.08100625822351937,0.0,0.0,-0.050802339327979174,0.0,-0.08888889512827591,-0.008046728259137326,-0.00683207152771137
