Ticker,PPG,DELL,QCOM,AMAT,MRK,AME,PG,CL,V,MA,MU,T,JPM,JNJ,INTC,GE,MS,RTX,TXN,IBM,SPGI,LMT,ADP,COF,WDC,ABT,GILD,UNP,ADI,TMUS,MMM,ADBE,AXP,BA,CVX,CSCO,DD,XOM,FDX,GS,GM,HAS,JBL,KMB,KLAC,LOW,MKC,NEM,OLN,PH
PPG,1.0000000000000002,0.2748995715956764,0.45356427163307694,0.2866478824257063,0.3603114766308159,0.4635150447076563,0.3432705026258843,0.2794796549173367,0.47794367028439744,0.5533813356661895,0.21852854190940527,0.20240491581778197,0.35030032661908056,0.19314023085831433,0.28174747987880605,0.2176371568845708,0.39597761126510667,0.16273082475017786,0.4973237481264848,0.23387759046219408,0.46099859846162655,0.0594559259093182,0.5337493407826103,0.45661127110465743,0.09975780392225536,0.23624333709854306,0.22705678199234666,0.49649698001038634,0.536635611740082,0.19503607068038428,0.5571890829545185,0.45759472772198173,0.5428175566091671,0.361624943304604,0.29080543324705305,0.32579671119217746,0.6011475908491708,0.19236952972738006,0.5399511653081932,0.4308356847450524,0.4380554866069757,0.5452451349773769,0.2809147005703513,0.33050561297111997,0.2953085823518684,0.5960937362370115,0.4113390784120631,0.06940598474035346,0.6124141325122126,0.5029367877443295
DELL,0.27489957159567646,1.0000000000000002,0.4653320812423281,0.4862899484869557,0.02847106376339686,0.3422984552793366,-0.11790896991221247,-0.19817725563690286,0.207486239988654,0.1986363318589552,0.5099990795449404,-0.10577745612649093,0.36603433496927784,-0.18222440256382472,0.32165654754000217,0.3752161759184017,0.4681332940520967,0.2280809927052182,0.3785495290799678,0.2603179494195842,0.1438926398618378,0.02694449112573374,0.10741955149777675,0.4121110978390426,0.4402929032436776,0.038569158093710816,0.06449299812136469,0.18543714898570737,0.4333656706094318,-0.06294189694037491,0.27682424784500315,0.19994166114346273,0.38513428750681106,0.3734913279444714,0.2098283779241183,0.3838906248835401,0.3576397010963858,0.08576901142185284,0.28479705018690743,0.4445717298590597,0.26567852553002663,0.3290065528296517,0.5341709709687151,-0.03064819511593384,0.490119667517477,0.11865374944672114,-0.0740152529279674,0.12215234829494011,0.2634467957449598,0.4598823754981017
QCOM,0.45356427163307694,0.4653320812423281,0.9999999999999999,0.6090142892152175,0.17160533921964846,0.38779672665964127,0.02675188048880136,-0.019131124760526586,0.2984524729690691,0.3221829967011817,0.5258458151022634,0.006094366954198471,0.41387771436669596,0.04994412330789381,0.4158128224558181,0.4077210845983365,0.5053310030440006,0.23312346619660973,0.5871606656960382,0.3283230366134439,0.19916058383976895,0.04590103840527758,0.2261215059134855,0.48866986880063057,0.347045540985244,0.13341779288420635,0.15621294644902717,0.365076338835293,0.7100881238215628,0.02491805587597776,0.39555444388153593,0.35478652775136926,0.5058176666462534,0.39007412085637566,0.3538910250108396,0.42303582192934297,0.4634806984857044,0.26954040554605274,0.4377029483617165,0.4912516006474319,0.3155617882666511,0.4560804193128649,0.4500580974303894,0.05212040978114664,0.6584980463144403,0.30857600998703166,0.13922624467029032,0.16840917754323215,0.501000542273396,0.4539769963063013
AMAT,0.2866478824257063,0.4862899484869557,0.6090142892152175,1.0000000000000002,0.12491062642937467,0.39298344104348015,-0.1734850798042998,-0.21710988571687906,0.18223926054479803,0.19194653744550697,0.663513355816626,-0.206640798018005,0.3614651470048539,-0.0740149300154603,0.45568540255503354,0.38068709645824883,0.5106329553964238,0.14322273947513933,0.5001768010002287,0.24873927033398957,0.08198209688183934,0.04808391347935185,0.08190074185308475,0.419536323767318,0.5489213259237175,-0.03786247843284944,0.10928771426226967,0.27215652096589366,0.6568092869969135,-0.11441435704288261,0.32298465884908395,0.15685377348789187,0.41054288934553435,0.30539336459723837,0.15650283753673144,0.45820945091948667,0.4238435405930633,0.09512327540870168,0.3085522390563412,0.4585655368876895,0.22799092432546672,0.38670309287772725,0.5613912225817813,-0.11824217194903477,0.8760739661352529,0.2165963378331705,-0.007752775393165751,0.20149821351943045,0.3630049009275233,0.462172091584255
MRK,0.3603114766308159,0.028471063763396857,0.17160533921964846,0.12491062642937467,1.0000000000000002,0.2043135282983952,0.32949386067550057,0.3036179394091017,0.29417372657078994,0.28743260667232035,0.08175423266443527,0.15759742689743328,0.15172894521313282,0.4525771612634468,0.09248795154555094,0.12025699139484071,0.1138062554867178,0.18242616033931217,0.18474043348451544,0.15258764132681493,0.18354165398374955,0.1284067452939881,0.21917414717427636,0.1282548599614391,0.009167085159977908,0.25762929418678376,0.3356756484624165,0.3030620361004447,0.21782201786767216,0.09576979764328421,0.2723661638328479,0.0943707943243885,0.1956788598887209,0.10030418412870948,0.1895583593983376,0.0762195353662201,0.29510078463978395,0.143281191228698,0.289855704445571,0.13741909624554352,0.19482689375658724,0.252132652772227,0.005268319242174284,0.30719272638492956,0.12828737895604989,0.22545053657742356,0.33371622234144144,0.04789073174314263,0.34979389057107174,0.21950783679875432
AME,0.46351504470765637,0.3422984552793366,0.3877967266596413,0.39298344104348015,0.2043135282983952,0.9999999999999999,0.11310517089679484,0.08796455369990519,0.4283770461313651,0.44669295008617105,0.32083134063038077,-0.01159832922170806,0.5113341107292935,0.11608827430689138,0.2484188632963152,0.3552491799876918,0.4905467227418276,0.2762169725875368,0.42169237331858456,0.24159180821331916,0.4673129253261123,0.14088687248736434,0.35561782122823254,0.5296039351026809,0.34997098145942784,0.07364500740045965,0.19983672458109558,0.4547258460140775,0.49911365319717904,0.007612943534291353,0.536239046154593,0.31978993868762906,0.5521099165818264,0.19163854185505422,0.24434521168453557,0.4090510917681424,0.46320746708134675,0.15248849345805024,0.41495905706755837,0.5070822126508737,0.34440977104454773,0.4242141588116933,0.41647257211380234,0.1729799805177169,0.4163300055527149,0.417825132243252,0.1996301400984906,0.1299462083399924,0.42761186085074565,0.5989121080179928
PG,0.3432705026258843,-0.11790896991221247,0.026751880488801356,-0.1734850798042998,0.32949386067550057,0.11310517089679485,1.0000000000000002,0.7023259834881405,0.31938634151441214,0.36328535361885483,-0.24392275480355174,0.3762107245333629,0.05498711953622689,0.37949311664178076,-0.039110277235495546,-0.03998258358115493,-0.025776009110405555,0.042987893232410264,0.055067191208890864,0.17034755616325065,0.33040290325897115,0.084845870342149,0.4019868544640419,0.03406789615231406,-0.2476789584698905,0.38004087249068846,0.27732448150709016,0.2677739408251006,0.007470872303518566,0.33210889098114293,0.22149148036443353,0.19198978956204626,0.1767762961228933,-0.021124877882610835,0.16952303462085877,0.03558446895652581,0.11389913001038852,0.15970726434897473,0.1617374948837724,-0.010619834534776898,0.08663634971123321,0.11150052027956853,-0.16032250200506892,0.5254848281645099,-0.1822529059630929,0.3664904083452991,0.47046713985628374,-0.0015408680809508091,0.1842028585037388,0.034805493003653376
CL,0.2794796549173367,-0.19817725563690286,-0.019131124760526586,-0.21710988571687906,0.3036179394091017,0.08796455369990519,0.7023259834881406,1.0,0.25776048452267103,0.28737413922041644,-0.24969110732586244,0.3747039165828588,0.0054861326133919365,0.3773089396707631,-0.08602963002702016,-0.11396523796190768,-0.0750850379473511,0.06064137412824912,0.013913657077481016,0.12626270643555854,0.25401316435733085,0.08598418823796022,0.3577363299519508,-0.03148364963082167,-0.27123298870599466,0.4209299778203688,0.219384292642367,0.2487801917219607,-0.029485829541486125,0.33655483061783464,0.14872212806433732,0.171967289723701,0.1001632634788827,-0.07018454120551511,0.15328308910733757,-0.020798169425243113,0.14581014719939084,0.1397007641845881,0.11079235617924302,-0.07220267424688265,0.06849105221463131,0.09861672594538821,-0.16930360379591364,0.5533828116393535,-0.22654824468258603,0.31289459315833923,0.4657987941074947,0.003823716158639571,0.14914809115678787,-0.005087360096386325
V,0.47794367028439744,0.207486239988654,0.2984524729690691,0.18223926054479805,0.2941737265707899,0.4283770461313651,0.31938634151441214,0.2577604845226711,1.0000000000000002,0.8871038794742839,0.14306303602988296,0.23300641145680545,0.4802196573116077,0.2634204949940485,0.13429864493611438,0.3614375130795939,0.445236471215321,0.2937734386414627,0.29667205193226387,0.3370712903763603,0.5561977844983014,0.15930298564280068,0.6123844259320808,0.4915513648737718,0.13077537957349278,0.3462249728786446,0.29312445443873364,0.39446079696810893,0.3609922847382078,0.24268021451132618,0.46736419512891203,0.39358810584941556,0.5795298916067133,0.2904156677589937,0.191092954498579,0.3040619982287037,0.4002917769378098,0.18666277193222108,0.31479423633525305,0.4886206441459307,0.28737370239990523,0.32325258672918666,0.1984600394769295,0.2191598746242511,0.2544894507474269,0.3676450571320913,0.34278957187037046,0.11900631040369537,0.340077272738324,0.39852304449341736
MA,0.5533813356661895,0.19863633185895518,0.3221829967011817,0.191946537445507,0.28743260667232035,0.44669295008617105,0.3632853536188549,0.28737413922041644,0.8871038794742839,1.0,0.14253821583151305,0.2619815272202575,0.48062835666006454,0.2555031857065328,0.1650915411795277,0.3712438289234771,0.4425151261539376,0.27757512020841135,0.3657075686945818,0.3115314709608718,0.5829283757237033,0.1323648565179834,0.6205749947099419,0.5152511911771344,0.140525504137972,0.3718806886567883,0.29649959460217973,0.43348047079028995,0.42187864924332763,0.2620325154108055,0.5231749903573546,0.4360843794499709,0.6064955688688782,0.3297425395119399,0.25050165971963423,0.3223228959505297,0.45699071411278447,0.2210728049755469,0.339997849638817,0.4830687456358102,0.30400310522379786,0.3813182653698129,0.18655382344242516,0.2383819695719201,0.26020147766476404,0.42465052416448273,0.3309890077506398,0.10371669468373917,0.39533926920172524,0.44578126929033307
