Ticker,PPG,DELL,QCOM,AMAT,MRK,AME,PG,CL,V,MA,MU,T,JPM,JNJ,INTC,GE,MS,RTX,TXN,IBM,SPGI,LMT,ADP,COF,WDC,ABT,GILD,UNP,ADI,TMUS,MMM,ADBE,AXP,BA,CVX,CSCO,DD,XOM,FDX,GS,GM,HAS,JBL,KMB,KLAC,LOW,MKC,NEM,OLN,PH
TMUS,0.27979327055619974,0.08380731740947696,0.19361704220340398,0.1897291233859655,0.1861949380860569,0.2639307997332836,0.2133129196374688,0.21773457650116743,0.3307291155287699,0.3375816536857111,0.20574808590055696,0.2704800063144639,0.2781176801138445,0.2045275800242922,0.1883372780970937,0.24283475009966027,0.2947816649325125,0.2443134055862176,0.20376026216533283,0.20839880449449547,0.2904297621701242,0.19632808861400083,0.2828489929800715,0.24518104250990705,0.18135283588678525,0.20048828599599866,0.15546796519619394,0.2761735267618131,0.1909759292827989,0.9999999999999998,0.24627254985747646,0.21811700864564348,0.2832276343954388,0.22399377868759732,0.27195301384622383,0.21804663775803615,0.2714023057755381,0.24335885121717354,0.2657509950971009,0.2962119887025416,0.19367358441619478,0.20563004910922997,0.20842247348062673,0.19869090206167928,0.18440638663430897,0.2496375865832902,0.2017891538260123,0.09489377740759665,0.2449848372903431,0.29037475875135266
MMM,0.5797089835344363,0.18778184587105978,0.34093544189814734,0.3655004144384296,0.3256061139425729,0.5084205909196067,0.38753567963518265,0.3652838011384954,0.3787231842108726,0.3869575306202287,0.31378225596953313,0.36045953751058407,0.4741991876196384,0.4151876254670863,0.36321830900981744,0.5099066727079923,0.4689388667599016,0.5214554004833848,0.3786662884960741,0.40334172846125094,0.4289071532923021,0.3471017034085887,0.459917932269665,0.4527737848504269,0.28533811323163794,0.35379588293855374,0.2856210107471736,0.49029436265930054,0.3665564749139556,0.24627254985747646,0.9999999999999999,0.33409976073447695,0.50497488096882,0.423994437274625,0.4328566803699544,0.38446681320745024,0.5391848980387095,0.4386331697787151,0.49185533953400323,0.4642116215788198,0.3344589163671264,0.3766667458750193,0.3639616432639613,0.3752451558037161,0.362674052630333,0.4481589269195041,0.3298541957651274,0.13239343566110387,0.4336602265544926,0.5808402143934794
ADBE,0.3595736061792662,0.15707849189587925,0.44319646996898177,0.48250336688274725,0.21771239478563906,0.36744452830313323,0.20128012537598516,0.2086794180147675,0.3473763899887097,0.3485936096440885,0.3827118026822881,0.23327796011487678,0.3783544835489032,0.22147632344799076,0.41287276135767015,0.34481597736421493,0.4006773771027298,0.3429748199928762,0.4664154901514342,0.4139336700430576,0.3848453900699627,0.21028344549927044,0.4113988393872224,0.35368062942590706,0.30288845724496616,0.26368795732337175,0.30327438831737186,0.31730769662489666,0.49147364731291626,0.21811700864564348,0.3340997607344769,0.9999999999999998,0.40090360070547565,0.30432702965348957,0.2643366004927224,0.5018243193856021,0.3228469487079346,0.24747085101753646,0.3531542709565256,0.40148775806448384,0.1837361189337888,0.2784938305426701,0.40959919123524596,0.19855041329453862,0.48219599444798295,0.37033189150695717,0.2169783802826826,0.05416572246380253,0.29268712362398525,0.3679206921433261
AXP,0.5546038845942315,0.19989596883337965,0.37813626820965396,0.41462673054774596,0.3246242289938876,0.5166632510843159,0.31787469787581085,0.30164620162073225,0.5179210979934765,0.517837130311685,0.3973940121194867,0.4034283737522497,0.7007415683139696,0.34063775486956965,0.40522302700410484,0.5776686648990207,0.6458289970844335,0.5484053200977258,0.40958126388962984,0.44113156154087557,0.5175446773516624,0.31067956171829847,0.4819650926670115,0.7211575147586434,0.359212781207606,0.328762314160306,0.2749470420725112,0.5052885645598557,0.42563584275790967,0.2832276343954388,0.5049748809688199,0.40090360070547565,1.0000000000000002,0.49614076327431744,0.47689265734075303,0.43680213835899445,0.5224011628361741,0.45264794994733804,0.4865719696684053,0.6498288578478417,0.3471356761115116,0.37199871475764007,0.4510897370606164,0.2896821739587628,0.4077456151700371,0.478225728514299,0.26638796777391915,0.10115230710249873,0.44060684350455825,0.5713466948056544
BA,0.48041078130232584,0.22647193083529205,0.315284995179617,0.3579860154255963,0.25572754479021376,0.4557107524102455,0.25999117099065655,0.2672544568181932,0.3696341177949389,0.3803844751843472,0.32555230172610666,0.3073464778875985,0.4376615092028624,0.29311306771747225,0.3471669627156966,0.493274430939908,0.4298709056907256,0.5913804973554795,0.33909513575423517,0.34748506789739475,0.40203971369619196,0.39527046686958783,0.41795016260436485,0.43419801166978117,0.3032781235999673,0.2962367418290472,0.2291458153333619,0.4336667964859898,0.3382995653263291,0.22399377868759734,0.423994437274625,0.30432702965348957,0.49614076327431744,1.0,0.42823571989717085,0.3209217554078891,0.45778421264859986,0.41889161732626184,0.41732294674050285,0.4415430368966215,0.3790799977513359,0.34687427431154405,0.36359032462113566,0.24859032834244713,0.34078301529588867,0.3914321593874046,0.23258967615889004,0.10728427496861406,0.3910027906860838,0.5309935924729373
CVX,0.46542419110740224,0.17371006323031316,0.2747570584740251,0.30001396115317636,0.34736111819226595,0.4454677550842649,0.2776641299743459,0.2829148979678903,0.39838038047041024,0.40513172776616774,0.28617650254051463,0.37956554186026453,0.45034336249959644,0.3702434246035284,0.28602907929676086,0.425760310548708,0.4576250964183344,0.4902487425843225,0.2993870360319531,0.3620184217456507,0.41886929752752666,0.3308150121003101,0.4256960263280943,0.4190470566941552,0.26009079225565596,0.3040773364887804,0.2143074807329341,0.46624392316770313,0.29089522298423826,0.27195301384622383,0.4328566803699544,0.26433660049272234,0.476892657340753,0.42823571989717085,1.0000000000000002,0.3093306800822802,0.4669015166798387,0.8360925761357834,0.374463958006311,0.4345836248985377,0.3317979969652718,0.3026553528377389,0.3100640005043171,0.2698260450991636,0.27024447186002143,0.3434980625791165,0.27839250238067803,0.26124733244659365,0.45427359471461065,0.5136261481191386
CSCO,0.39302380155969346,0.18653999830774787,0.49434812341798146,0.5519064113297688,0.22763422693221824,0.4059365930219796,0.23400566212047774,0.22608652468373405,0.3119425512387769,0.31776463127896937,0.4445143442750453,0.3151401079571238,0.4468803048957291,0.2528100253290863,0.5336255429753175,0.40696988960775876,0.4631642055391058,0.39650201109793565,0.5533786336810875,0.4870722430715234,0.3586479753335445,0.22618232397386295,0.4120209437880543,0.38001834005610724,0.37267435014284805,0.24417366754536923,0.3051413475892493,0.36376615582362787,0.5691151941437532,0.21804663775803618,0.3844668132074502,0.5018243193856021,0.4368021383589945,0.32092175540788914,0.3093306800822802,1.0000000000000002,0.3614872396754061,0.30610390734113563,0.38334142116376574,0.4776715219765284,0.21400173653856366,0.30967143253176765,0.5342995331168733,0.20662339824931247,0.5404353846740922,0.36820486564224386,0.20420317891996437,0.08107040323097912,0.312505535998452,0.42093185840211894
DD,0.6682538442655005,0.20107921488870165,0.34462140792849266,0.38496107597252444,0.3164907277895956,0.5064916733148889,0.3270929310436715,0.2929642666603785,0.39818151776394084,0.3961622565067928,0.36936912595922905,0.34556409440521646,0.5168297324659767,0.3229607703012146,0.36584783752852085,0.49470127013595927,0.4751510204007828,0.5119791247633981,0.4046870734393266,0.3910288227632185,0.4306550456185024,0.30376620541515525,0.4237123153729057,0.48012829612677316,0.30971819821741403,0.31831644835059564,0.22754895281743823,0.5246766544705853,0.38073515408824515,0.2714023057755381,0.5391848980387094,0.3228469487079346,0.522401162836174,0.4577842126486,0.46690151667983876,0.3614872396754061,1.0000000000000002,0.4529851308055466,0.4789940716851339,0.4847973548578137,0.3550204196070747,0.36758193850475196,0.39515329978796365,0.3132626512522012,0.37625904794371023,0.43521170780001045,0.28703826431621743,0.1702942179820903,0.5305853076363456,0.589524511501939
XOM,0.44837212435316837,0.14851261943846022,0.2734403025080571,0.27844189152817994,0.3467795593143806,0.4251313349184464,0.2967865248652563,0.2932129971742851,0.3557097360024122,0.3665391335371281,0.2564673714941304,0.4053392955316557,0.4281808864946644,0.3837262023424617,0.28646483035498826,0.4204447545174111,0.426356471200239,0.4837669171778944,0.2878004208512524,0.36654868290009895,0.3835914980855545,0.34161736427093414,0.41977453452356733,0.3936999333058348,0.2527476529258508,0.309290441905722,0.2246136155100612,0.4346640695626929,0.2790789088023946,0.24335885121717357,0.4386331697787151,0.24747085101753646,0.452647949947338,0.41889161732626184,0.8360925761357834,0.30610390734113563,0.4529851308055466,1.0,0.368193006707695,0.40216462278065834,0.3045136132531347,0.289971899597422,0.2890248945211654,0.27856555159112384,0.2475399192000553,0.3258688745730057,0.2897806341594326,0.23534333471439864,0.4480014436323466,0.4934978825736494
FDX,0.5311172770127677,0.20740508381424136,0.35725541694742835,0.38027105255184424,0.26665999766691456,0.4787301552867851,0.2959433552584393,0.28791368585120913,0.37261519151829114,0.37259664891850097,0.3626692047984744,0.3272546685716517,0.47229552345206516,0.2908418486527283,0.35912739551793355,0.4496891228429659,0.45285520653387995,0.46091221774696484,0.3861916259082619,0.3648198620765099,0.4110567994293541,0.2873744096117111,0.4011835400850322,0.46380049355542874,0.33571541815482453,0.2940588074084561,0.23605498810353764,0.5431626972088519,0.3876792987847357,0.2657509950971009,0.4918553395340033,0.3531542709565256,0.4865719696684054,0.41732294674050285,0.37446395800631094,0.38334142116376574,0.47899407168513386,0.36819300670769506,0.9999999999999998,0.4657571098089733,0.3380262852307532,0.3795468896263548,0.38204101563698345,0.28561697143684817,0.3628859344186833,0.45260809042650385,0.2789802522161493,0.07770932506942903,0.4339223163350662,0.5389910762428898
