,Net Return,Net Volatility,Net Sharpe Ratio,Net Sortino Ratio,Net Maximum Drawdown,Net Calmar Ratio,Net VaR (95%),Net CVaR (95%),Total Turnover,Total Transaction Cost
Simulated (Max Sharpe),0.15082500859676817,0.18938071840493587,0.5323932100689526,0.7087918135768498,-0.460638677799071,0.327425845605083,-0.017727796980056568,-0.027417912813611358,5.586597154631399,38957.83315470867
Equal-Weight,0.13274140198451767,0.19672292333913605,0.420598680520203,0.5588746418048922,-0.4748389280083516,0.27955037835942337,-0.01867041219799338,-0.028511835771528594,5.512637158680306,27507.594768042578
Markowitz,0.2081511734189394,0.18595611929510705,0.8504757682534664,1.1617370028083789,-0.38627288090782674,0.5388707924039039,-0.016674685433476628,-0.026334424499794354,5.06122383279855,81299.63563677156
Black-Litterman,0.17487567085179312,0.186854379135053,0.668304759191844,0.8792615325857897,-0.4258851294271021,0.41061699216179426,-0.016770339950407855,-0.027183291806666905,5.450716401828732,45293.84820768341
Risk-Parity,0.1292181235042973,0.17399889530494844,0.45527946235210587,0.5966873186809327,-0.4254765126831448,0.30370213079312064,-0.016406918953663925,-0.025310568983679067,5.299670059148474,26143.73099041116
