Ticker,Simple Mean (Daily) Returns,Log Mean (Daily) Returns,Median Returns,Variance of Returns,Standard Deviation of Returns,Minimum Returns,Maximum Returns,(Simple) Annual Returns,Daily Volatility,Annual Volatility,Skewness,Kurtosis
ABT,0.0005080360990652263,0.000391721585076046,0.0003859855175710747,0.00023205208526775985,0.015233255898453221,-0.16137503680646115,0.12466356214671936,0.12802509696443704,0.015233255898453221,0.2418204405906901,-0.12238565258827513,7.963713340940377
ADBE,0.0007849686566768063,0.00043106289540140684,0.0007627545703803307,0.0007043987165366342,0.026540510856738125,-0.2975793542307459,0.23971939111604512,0.19781210148255518,0.026540510856738125,0.4213175483732334,-0.046459182510554864,10.101392765975758
ADI,0.0007091178503284644,0.0003846410410086058,0.0005345052979898179,0.0006527349976747693,0.025548678981011312,-0.16614895527458928,0.1838762963040792,0.17869769828277304,0.025548678981011312,0.40557270545987417,0.46626368244880806,6.234046181311948
ADP,0.0004971579653726537,0.0003732311146957494,0.0005286108361903796,0.00024599976904281587,0.01568437977871028,-0.2357924125084352,0.11827270667988654,0.12528380727390873,0.01568437977871028,0.24898181017654605,-0.4993907739642143,15.169507475629183
AMAT,0.0008406097295414169,0.0004474584294244846,0.0005775719635047194,0.000789535992154725,0.02809868310356777,-0.20357636045027716,0.25633000200624867,0.21183365184443706,0.02809868310356777,0.44605276596271737,0.3305764806996155,4.927421381922829
AME,0.0008413702462662135,0.0006889198169015199,0.0008222485510113176,0.000304245070959435,0.017442622250092875,-0.1616622754020749,0.167153688781416,0.2120253020590858,0.017442622250092875,0.27689304411952576,0.024254573571064034,9.67551819021277
AXP,0.0005939698655933307,0.0003478400061605659,0.00047090585414266695,0.0004948506651833751,0.022245239157702375,-0.17594896603083898,0.2188230095242314,0.14968040612951933,0.022245239157702375,0.3531322239986186,0.5632221291094452,12.810961197586556
BA,0.0005570701879284707,0.00031036442536758397,0.000522147168706022,0.0004927656594535704,0.02219832560022423,-0.2384841190698378,0.24318605379189218,0.14038168735797463,0.02219832560022423,0.35238749436139155,0.13671706109568574,12.951843410659173
CL,0.0003358541221218017,0.00024429772523467346,0.0002581223269341182,0.00018334127281008304,0.013540357189161705,-0.15572829278161604,0.19971134036483829,0.08463523877469403,0.013540357189161705,0.21494650671304463,0.3100147648003283,16.752331975355233
COF,0.000692075143166876,0.00027898917738585844,0.00041974916506215543,0.0008164854539046824,0.028574209593699742,-0.3976287465391729,0.26430103714527187,0.17440293607805277,0.028574209593699742,0.453601514970993,-0.18800958491374709,16.862619385467866
CSCO,0.0004316662257653944,0.00017300569074517447,0.0005062792902612578,0.0005193489169040198,0.02278922808925348,-0.1621070769051367,0.24388400313674685,0.1087798888928794,0.02278922808925348,0.36176778057175435,0.4532701603683337,11.756594830014063
CVX,0.0005356298332937366,0.00038653548667664037,0.0008450430654001195,0.0002975337374290891,0.017249166282145033,-0.2212479443227553,0.22740680681786007,0.13497871799002162,0.017249166282145033,0.27382202583453813,0.0659764855727827,18.60339248628972
DD,0.0004386953839368385,0.00020113390600298456,0.0,0.00047496725143518996,0.021793743401150478,-0.19027484654950988,0.1843082603152595,0.1105512367520833,0.021793743401150478,0.3459649510595949,0.09988859084915232,7.072531434296154
DELL,0.0007038322052892544,0.0005560921846868632,0.0,0.0003006612495359459,0.017339586198521172,-0.21639252356459127,0.32758240852375464,0.17736571573289212,0.017339586198521172,0.2752573975083292,2.2347030244854187,60.428313607368224
FDX,0.0005685908533461112,0.00036954439091865885,0.000315782283876076,0.0003962192565438816,0.019905257007732446,-0.214038084564524,0.15527732947667783,0.14328489504322003,0.019905257007732446,0.3159861589517145,-0.20768400187698136,8.788188872509254
