,Model,Ticker,Mean Weight,Average Active Weight,Annualized Asset Return,Annualized Contribution,Total Arithmetic Contribution,Contribution Share of Arithmetic Gross Return,Positive Contribution Days,Negative Contribution Days,Contribution Volatility
13,Black-Litterman,DELL,0.008640560288583631,0.008640560288583631,0.5879717655475661,0.0017666325159215888,0.009954834018288318,0.009488998630904029,386,367,0.005887726662104643
14,Black-Litterman,FDX,0.0,0.0,0.1549556930763913,0.0,0.0,0.0,0,0,0.0
15,Black-Litterman,GE,0.03097250770151128,0.03097250770151128,0.38466942105356566,0.011112281635681277,0.06261682508995005,0.05968667749341919,776,636,0.009857582654115968
16,Black-Litterman,GILD,0.014985702540669584,0.014985702540669584,0.22329031147715028,0.0042080350239651915,0.023711943389010205,0.0226023455480054,388,360,0.006418402911151429
17,Black-Litterman,GM,0.0,0.0,0.208995769391716,0.0,0.0,0.0,0,0,0.0
18,Black-Litterman,GS,0.0,0.0,0.30299292213926804,0.0,0.0,0.0,0,0,0.0
19,Black-Litterman,HAS,0.0,0.0,0.0948928888502429,0.0,0.0,0.0,0,0,0.0
20,Black-Litterman,IBM,0.01760549984029445,0.01760549984029445,0.20545621671766792,0.004071977427510302,0.022945269631208846,0.021871548206255444,501,416,0.005279976827144579
21,Black-Litterman,INTC,0.003395075532033142,0.003395075532033142,0.25917913036650897,-0.0022141287836841177,-0.012476439971553361,-0.011892606304749068,236,264,0.002846325324085924
22,Black-Litterman,JBL,0.0011305607308143006,0.0011305607308143006,0.4272494984044325,0.0001285633183476759,0.0007244440954511896,0.000690543811908261,126,126,0.0010486441049406138
23,Black-Litterman,JNJ,0.016401575338382598,0.016401575338382598,0.1369238378565616,0.004414221471823732,0.024873787658689285,0.023709821440024755,485,433,0.00464395941331182
24,Black-Litterman,JPM,0.052631416532516004,0.052631416532516004,0.2391850869269287,0.007934591461322674,0.044710793155072204,0.042618556397393634,639,528,0.01726031826167547
25,Black-Litterman,KLAC,0.026505466709588168,0.026505466709588168,0.45539385410487315,0.01538377570279856,0.0866863551506903,0.08262987648330442,274,230,0.02531053325494367
26,Black-Litterman,KMB,0.011892146870216365,0.011892146870216365,0.020411268349495856,-0.00033341149789394123,-0.001878747329402367,-0.0017908315501556696,331,335,0.004813525763398008
