Model,Initial Turnover,Total Trade Turnover,Total Transaction Cost,Mean Trade Turnover,Maximum Trade Turnover
Black-Litterman,1.0,5.70930297942522,7963.825911663253,0.95155049657087,1.2803480560461389
Equal-Weight,1.0,1.989540754560311,2621.0185411854445,0.3315901257600518,1.0
Markowitz,1.0,9.858022343667638,11377.536661517997,1.6430037239446065,2.0
Risk-Parity,1.0000000000000002,2.1260666937541384,2651.1944188694333,0.35434444895902306,1.0000000000000002
Simulated (Max Sharpe Ratio),1.0000000000000002,6.105697120812366,8595.476888703053,1.017616186802061,1.1652377025388636
