,Date,Model,Gross Return,Net Return,Benchmark Return,Portfolio Value,Turnover,Transaction Cost ($),Transaction Cost Rate,Trade,Maximum Weight,HHI,Gross Growth,Net Growth
0,2021-01-05,Black-Litterman,0.010956015450189975,0.009945059434739667,0.006887370026880113,1009945.0594347398,0.0,0.0,0.0,None,0.24408832577764855,0.1530479553850268,1.01095601545019,1.0099450594347397
1,2021-01-06,Black-Litterman,-0.00568264881867362,-0.005682648818673641,0.00597844428569827,1004205.8963358176,0.0,0.0,0.0,None,0.24500669098797426,0.1520412646663872,1.005211107443261,1.0042058963358176
2,2021-01-07,Black-Litterman,0.021163666294125354,0.02116366629412525,0.01485728725018376,1025458.5748164618,0.0,0.0,0.0,None,0.2461519604709534,0.15248180869645853,1.0264850598763382,1.0254585748164617
3,2021-01-08,Black-Litterman,0.0009761648896229008,0.0009761648896229325,0.0056981267254505585,1026459.5914729604,0.0,0.0,0.0,None,0.24065848755658403,0.15166139299295373,1.027487078551512,1.0264595914729604
4,2021-01-11,Black-Litterman,-0.0005249014387124192,-0.0005249014387124218,-0.006741064139717978,1025920.8013566161,0.0,0.0,0.0,None,0.2446726270118029,0.15240455667241642,1.026947749105722,1.0259208013566161
5,2021-01-12,Black-Litterman,-0.000908424344741634,-0.0009084243447415874,0.00021141805011981596,1024988.8299248869,0.0,0.0,0.0,None,0.24735428442636243,0.1526543958742309,1.0260148447696567,1.024988829924887
6,2021-01-13,Black-Litterman,-0.0006625572277583835,-0.0006625572277584313,0.002692841098339782,1024309.7161672486,0.0,0.0,0.0,None,0.248920008811438,0.15338583463273728,1.0253350512184671,1.0243097161672488
7,2021-01-14,Black-Litterman,0.002701722704038431,0.002701722704038456,-0.0035020052935075263,1027077.1169833848,0.0,0.0,0.0,None,0.25256749001759404,0.15366998450294173,1.0281052222055904,1.027077116983385
8,2021-01-15,Black-Litterman,-0.0070702297108073174,-0.007070229710807285,-0.007292710667477054,1019815.4458355986,0.0,0.0,0.0,None,0.25255126656393717,0.1539487467089744,1.0208362821177164,1.0198154458355988
9,2021-01-19,Black-Litterman,0.027026407897018816,0.027026407897018823,0.007852092777498765,1047377.3940544316,0.0,0.0,0.0,None,0.26046713982454306,0.15555032702317462,1.048425819874306,1.0473773940544318
10,2021-01-20,Black-Litterman,0.0007215798912464542,0.0007215798912465488,0.01383884129985824,1048133.1605205275,0.0,0.0,0.0,None,0.25419088373174636,0.1536888968319924,1.0491823428633908,1.0481331605205277
11,2021-01-21,Black-Litterman,0.0031439530595718987,0.0031439530595718246,0.0009114401404881622,1051428.4419773847,0.0,0.0,0.0,None,0.2579765891523163,0.1550031146846441,1.052480922900285,1.051428441977385
12,2021-01-22,Black-Litterman,-0.014153264646215549,-0.01415326464621558,-0.003539370503723327,1036547.2969815207,0.0,0.0,0.0,None,0.2532766301989923,0.15388609808875328,1.037584881863384,1.0365472969815208
13,2021-01-25,Black-Litterman,-0.0003667165704877905,-0.0003667165704878128,0.003943540781324195,1036167.1779116233,0.0,0.0,0.0,None,0.2502901915939602,0.15301308693236876,1.037204382293917,1.0361671779116233
14,2021-01-26,Black-Litterman,-0.007262623601393805,-0.007262623601393847,-0.001560669187039565,1028641.8857103327,0.0,0.0,0.0,None,0.24663097239544315,0.1521385927179203,1.0296715572676,1.0286418857103325
15,2021-01-27,Black-Litterman,-0.04556997228349974,-0.04556997228349968,-0.024440518332422556,981766.703488866,0.0,0.0,0.0,None,0.24404151220784603,0.15127890402225402,0.9827494529418076,0.9817667034888659
16,2021-01-28,Black-Litterman,0.025398888890715263,0.025398888890715288,0.008600092872435683,1006702.4869073835,0.0,0.0,0.0,None,0.24845607696524932,0.15238689732599536,1.0077101971044877,1.0067024869073833
17,2021-01-29,Black-Litterman,-0.017790878015871314,-0.017790878015871314,-0.02001959626950245,988792.36576454,0.0,0.0,0.0,None,0.2525690543153113,0.1531409295493047,0.9897821479124521,0.9887923657645398
18,2021-02-01,Black-Litterman,0.02746241802472328,0.02746241802472338,0.01664559191283632,1015946.995052821,0.0,0.0,0.0,None,0.25260212174752544,0.153540101233366,1.0169639590118325,1.0159469950528208
