Date,Simulated (Max Sharpe),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2000-01-04,-0.0179763748168481,-0.02826970555356568,0.0015955445398237724,-0.010477953278640453,-0.025865225621513166
2000-01-05,2.5586197186339057e-05,-0.00041855262813775306,0.001483421583023191,-0.0023186993476689236,0.0012870538852324262
2000-01-06,0.016706199914647685,0.012783121512274512,0.01148140573964876,0.0053155083682587395,0.013256175899786456
2000-01-07,0.03755218757765939,0.02915725312257189,0.024785691040350614,0.009622175630537107,0.02690343950765817
2000-01-10,0.006720940659996469,0.011952893186686457,0.015792238633685004,0.0024696559608215164,0.009144050529961258
2000-01-11,-0.0168219041937009,-0.013642206969880888,-0.027217461383702585,-0.007973341362866244,-0.011326089184641012
2000-01-12,-0.004248689130063698,0.000338391019626214,0.01202046777766631,0.007826992135990661,-0.00018687141468759396
2000-01-13,0.002605995926198447,0.004714951098076871,0.0018511288688184586,0.004064709428941706,0.0036368025363609103
2000-01-14,0.007296984099032595,0.011088310883370155,-0.007729748293731021,-0.0042673560405139645,0.005729102162289224
2000-01-18,-0.006433472715227807,-0.012681191129539205,0.001626145514390031,-0.009148314136637596,-0.012318195553862007
2000-01-19,0.018724461425066955,0.009485955924199877,-0.007158839747757627,0.0030585756912139203,0.005085694352801166
2000-01-20,-0.02313329210248532,-0.016202216865183968,-0.0022791298987702158,-0.008516989561829004,-0.014271557475395614
2000-01-21,-0.011485806583428751,-0.006464952811499241,0.0032990919960278722,-0.0014110458788572308,-0.005296901366129486
2000-01-24,-0.029695344096746023,-0.022408442603333672,-0.03820661811612624,-0.013531930568928603,-0.022612680270973438
2000-01-25,0.006919681828033019,0.002806505640902022,-0.002277685470397018,-0.006709251552017484,-0.0021412082974033137
2000-01-26,0.005639909220969493,0.0038580439604664484,0.006843371343924773,0.003507872765975138,0.0058266871595130006
2000-01-27,-0.02157264424282214,-0.010841946487116887,-0.010201842783287222,-0.000764865634230669,-0.007363618747433229
2000-01-28,-0.0122819131430622,-0.020539449996321586,-0.004437089678272156,-0.013863976961317803,-0.016715907656129507
2000-01-31,0.006003973075552033,0.01259381472118221,0.003024293453679965,0.005807235396229068,0.010874800610295922
2000-02-01,0.0039158362866109795,0.006362414727587934,-0.018059766955675724,0.003013525048263205,0.0027968024517285054
2000-02-02,0.0014065576827939734,0.0024168756869367898,-0.010003013795493523,0.0011081939863981146,0.0012901525380204911
2000-02-03,0.011448110168381268,0.013607575078598354,-0.005422019383816685,0.007564110426997818,0.010321543379962772
2000-02-04,0.0035231894630264027,-0.0005644029721656482,0.009247332151768171,0.0027547452357297737,0.00031695795198433867
2000-02-07,0.0016727191887019321,0.004115839449999614,0.01312189180703245,0.0009135254837952969,0.0003982227106846129
2000-02-08,0.010106154094468762,0.010888497332647788,0.00770277781924859,0.0036178716459505994,0.00937482303597737
2000-02-09,-0.011922863898292465,-0.012881003772653837,-0.014192121378555137,-0.004639681045874946,-0.01066663703672858
2000-02-10,-0.004937778789182376,-0.0012791502223181914,-0.008239217405299041,0.0004428920761491465,-0.003083524675599393
2000-02-11,-0.011919612174861337,-0.01575039076666153,0.004426339947326408,-0.011400648365413801,-0.01563341207556621
2000-02-14,0.001362926598855676,0.0019969748827396716,0.01668323231564279,0.0019567875830313894,0.0030875210055129327
2000-02-15,0.010204033684722657,0.015162354563581743,0.009118231022883156,0.009804248522995582,0.015332977024561975
2000-02-16,-0.005721580883182631,-0.0025969050349201,-0.003972201699373769,-0.0028960158945709595,-0.004007059058961371
2000-02-17,0.011017354198449061,0.0075139423176893705,0.030030809314122733,0.0012688509464075667,0.004504556950525773
2000-02-18,-0.01593794317066599,-0.024068580593948195,-0.002116917202096365,-0.011061784435723712,-0.019512663867357335
2000-02-22,0.012640469809313371,0.012960209279399476,0.004344084083814957,0.007859626906078736,0.010895094756403122
2000-02-23,0.0005164220900440823,0.0023096547840293124,-0.004920288868384985,0.00022021161697531296,-0.0023987625400776137
2000-02-24,-0.010781690795542798,-0.004606781422153533,-0.011572605181250462,-0.0072515168256519266,-0.009089327307913064
2000-02-25,-0.014331127065371605,-0.0157901177870845,0.0002140023409845115,-0.0074022050130246805,-0.014587703383435187
2000-02-28,0.010076194787464077,0.010580607600831595,-0.009765295796778331,0.007651638244295852,0.010769671381725635
2000-02-29,0.022704550721269305,0.024974640177683582,0.014740798425432331,0.024952535362809926,0.019324475427712186
2000-03-01,0.005325615264868446,0.008422150945376612,0.024046387650266204,0.006404644533034095,0.007760275794996465
2000-03-02,-0.01458019420826152,-0.012814288054694003,-0.014942392524466934,-0.010564084465065671,-0.010726352878420314
2000-03-03,0.016992579668539308,0.024054709049701493,-9.388870738364849e-05,0.0017827705091865804,0.018702006771824386
2000-03-06,-0.003490131476975338,-0.003984407235140239,0.018357055163483463,-0.0011615727985073217,-0.007039193515489579
