,Metric,Value
0,Return,0.11680804591116807
1,Volatility,0.18274074022265768
2,Sharpe Ratio,0.3655892267360131
3,Sortino Ratio,0.47262507007277915
4,Calmar Ratio,0.40229538686984556
5,Max Drawdown,-0.43037011319038565
6,"Value-at-Risk (VaR, 95%)",-0.01618877570053846
7,"Conditional VaR (CVaR, 95%)",-0.02667361370967345
