Ticker,Sample,Ledoit-Wolf,Oracle,Exponential
PPG,0.07837583088936832,0.07853738213191129,0.0784093650101678,0.06421328262757782
DELL,0.06035209355721198,0.060596791261340974,0.060409471858392454,0.23475743118328732
QCOM,0.1761429771949285,0.17585351252856965,0.17604717202116962,0.13133976098007666
AMAT,0.19267998822744256,0.19231423561218483,0.19256230571122385,0.1863284074429774
MRK,0.06939827341819585,0.06960123960835247,0.06944368423780527,0.08150732386165621
AME,0.07712696844393203,0.077294280894122,0.07716215472492843,0.047220138019218684
PG,0.043096191951467806,0.04342049396482264,0.04317639863851198,0.030392618712472435
CL,0.04587495365421984,0.04618643678329354,0.04595148422825509,0.037480751963649056
V,0.05569891702360496,0.05596508059559336,0.055762451161311864,0.04276108134883073
MA,0.07957885407777822,0.07973485557669815,0.07961079668060456,0.04141176590052994
MU,0.3115891547234258,0.3106748545865259,0.31131416345582913,0.36582096777811074
T,0.0652971666336286,0.06551905190318806,0.0653480029389811,0.04113504776836115
JPM,0.13677858901032394,0.13667071873417014,0.13673486024864123,0.053705477250848184
JNJ,0.036619580424869604,0.036973760111294114,0.036708355229094575,0.03084424830391649
INTC,0.15584787413745627,0.15565203411595627,0.15577891800666974,0.35816791887194993
GE,0.10966694063238507,0.1096841408446015,0.10965907874017766,0.07839764865333977
MS,0.21994764251921448,0.21945609973467445,0.2197938867482918,0.06993919229170714
RTX,0.07624253133240223,0.0764139238362994,0.07627888766362931,0.0596606315579287
TXN,0.14216180101040762,0.1420290970928438,0.1421109506248578,0.11827170633607456
IBM,0.06749543091342117,0.06770717522868645,0.06754335906442997,0.07246253113798208
SPGI,0.08780273186516432,0.08792079526468037,0.0878237948362151,0.04534883156172022
LMT,0.0625927935871395,0.0628271545738868,0.0626472075943609,0.05343965560531795
ADP,0.061201062502905045,0.061441843773803254,0.06125731767582939,0.035631904055282285
COF,0.20794334743064638,0.20750718243163743,0.20780547252683598,0.10124091938897659
WDC,0.32179309431261116,0.3208317217258945,0.32150460392595404,0.3012457139620067
ABT,0.05761450509872521,0.05787183174819486,0.0576755050435088,0.0408834702550351
GILD,0.14709510935861234,0.14693964727910316,0.14703773254117095,0.06701477723505878
UNP,0.07662294749662514,0.07679258507825493,0.07665880056310348,0.039513357588128385
ADI,0.16483946254112725,0.16460214284501676,0.16475861114956003,0.11324859778788915
TMUS,0.11569975743964354,0.11568912727674542,0.11568391454052804,0.05735653209129884
MMM,0.06099062264876888,0.06123237471328916,0.0610471562193279,0.0750219776726711
ADBE,0.1769567581177194,0.17666353934626075,0.17685987636706885,0.08871089413074953
AXP,0.1259286041560446,0.1258707866426597,0.12589922918743093,0.07684489294939857
BA,0.12430852844673984,0.12425818460877792,0.12428129672825969,0.11847038876946596
CVX,0.07515708534951643,0.07533348519406977,0.07519487765205914,0.04452838205625517
CSCO,0.13033687198621946,0.13025871840906222,0.13030166517866068,0.04831637556892572
DD,0.12017658284371412,0.12014530034969138,0.12015481740863941,0.09612066425780967
XOM,0.06873222225353816,0.06893826104714854,0.06877851421360252,0.04385841892777527
FDX,0.10000611789720147,0.10006788507195387,0.1000110366173433,0.08448096606850564
GS,0.12791062123589714,0.12784366035208045,0.1278786241932985,0.07665303565812344
GM,0.06898529829573866,0.06919016960798635,0.06903125545338726,0.12192454831879736
HAS,0.10454269354570811,0.10458353275164144,0.10454161068437538,0.08742506741096202
JBL,0.2406782839824169,0.24009110734279407,0.24049710298079136,0.1478740550793331
KMB,0.04328383723106497,0.04360727360591519,0.043363795676148446,0.06450303454609117
KLAC,0.20615777612700253,0.20572984826178398,0.2060222634127571,0.16900082589033597
LOW,0.10296995166356303,0.10301804618619778,0.1029709494329252,0.05299577886511973
MKC,0.04919899508783165,0.04949514386763711,0.04927112818080753,0.04914065015296385
NEM,0.1548467905190748,0.15465556866078292,0.15477915875392528,0.17576433737325375
OLN,0.17540849872197067,0.17512242232548128,0.1753136652133483,0.2815293852001245
PH,0.10445048443987875,0.10449174902156708,0.10444952356493051,0.07575006631399331
