,Model,Mean HHI,HHI Volatility,Mean Effective Holdings,Mean Active Holdings,Mean Maximum Weight,Maximum Observed Weight,Mean Allocation Change,Allocation Change Volatility
0,Black-Litterman,0.09785653905757102,0.029733615548487143,10.918534486677858,16.833333333333332,0.17116689027214738,0.23651,0.9338421394052291,0.2949660737342896
1,Equal-Weight,0.020000000000000004,0.0,49.99999999999999,50.0,0.02,0.02,0.04,0.2
2,Markowitz,0.20788117189424096,0.046241925968457366,5.068805429319481,6.88,0.2793827600108003,0.3000090002700081,1.7163451728111843,0.28008513184508277
3,Risk-Parity,0.061786849373410974,0.03359153103405371,23.731032363775213,37.64,0.13955380597254266,0.3,0.24420199899848824,0.1817669705751761
4,Simulated (Max Sharpe Ratio),0.054574282371564975,0.00850689545654026,18.70919910765168,27.84,0.1478714043016905,0.2136014198185008,1.0981808233319115,0.10043261766026632
