Date,Market Excess,Size Proxy,Momentum Proxy,Low Volatility Proxy
2000-01-04,-0.039300031119355205,,,
2000-01-05,0.0015952099933904673,,,
2000-01-06,-0.016264794754517475,,,
2000-01-07,0.05788301835907461,,,
2000-01-10,0.003237102404533232,,,
2000-01-11,-0.012159975286728075,,,
2000-01-12,-0.010141682200719981,,,
2000-01-13,0.013349305941621648,,,
2000-01-14,0.013383980475118129,,,
2000-01-18,-0.008060771411973477,,,
2000-01-19,0.007950326394363438,,,
2000-01-20,-0.015499411925861573,,,
2000-01-21,-0.0023529459452582557,,,
2000-01-24,-0.02853605063450848,,,
2000-01-25,0.011162625693247108,,,
2000-01-26,-0.008120031860110677,,,
2000-01-27,-0.0041881502229838,,,
2000-01-28,-0.03138776036167423,,,
2000-01-31,0.026945124585943336,,,
2000-02-01,0.009658815304916857,,,
2000-02-02,0.0006934256781157,,,
2000-02-03,0.014869852424126861,,,
2000-02-04,-0.004340514977614673,,,
2000-02-07,-0.0017275223960265818,,,
2000-02-08,0.013414875198629383,,,
2000-02-09,-0.021198220910365828,,,
2000-02-10,0.0017970458304599202,,,
2000-02-11,-0.020502844829137667,,,
2000-02-14,0.005664990717128449,,,
2000-02-15,0.011119159936088252,,,
2000-02-16,-0.01492421745935646,,,
2000-02-17,-0.00536442727314701,,,
2000-02-18,-0.021662482242685188,,,
2000-02-22,-0.0027337236483914173,,,
2000-02-23,0.01161442645762878,,,
2000-02-24,-0.020330689612179986,,,
2000-02-25,-0.0038136807350251933,,,
2000-02-28,0.020783696884598246,,,
2000-02-29,0.009448229712287537,,,
2000-03-01,0.0070826558464280875,,,
2000-03-02,0.0004831484127820751,,,
2000-03-03,0.01852996374292415,,,
2000-03-06,-0.009937252194229362,,,
2000-03-07,-0.01953614362706002,,,
2000-03-08,-0.0014476488735819526,,,
2000-03-09,0.029030416637211287,,,
2000-03-10,-0.005517207075339647,,,
2000-03-13,-0.011122034346652154,,,
2000-03-14,-0.014398580526587268,,,
2000-03-15,0.02313700257360729,,,
2000-03-16,0.04652034158795049,,,
2000-03-17,0.006415444735427656,,,
2000-03-20,-0.005297682397889747,,,
2000-03-21,0.02032748319342237,,,
2000-03-22,0.005881468320555916,,,
2000-03-23,0.016878867449755086,,,
2000-03-24,0.005742628438676789,,,
2000-03-27,-0.010775063210150426,,,
2000-03-28,-0.005952862154973038,,,
2000-03-29,0.0008408213135830955,,,
