,Rebalance Date,Next Rebalance,Model,Holding Days,Gross Return,Net Return,Annualized Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,"Value-at-Risk (VaR, 95%)","Conditional Value-at-Risk (CVaR, 95%)",Allocation Turnover,Transaction Cost Rate
0,2002-01-02,2003-01-02,Simulated (Max Sharpe Ratio),252,-0.07235303126051384,-0.07328067822925333,-0.07235303126051384,0.2474545398249064,-0.4944465005454669,-0.9224844566662993,-0.25412662978862477,-0.28471251250093316,-0.023496310856033778,-0.026389360284921646,1.0,0.001
1,2002-01-02,2003-01-02,Equal-Weight,252,-0.09534488948110531,-0.09624954459162416,-0.09534488948110531,0.2668904146288888,-0.5445863976913798,-1.0585524237041715,-0.2835245470604071,-0.3362844257036811,-0.02422652813622354,-0.028967789038784816,1.0,0.001
2,2002-01-02,2003-01-02,Markowitz,252,0.029322218517607412,0.02829289629908982,0.029322218517607412,0.23009730547300397,-0.08986537864876736,-0.14385804822451803,-0.22621645749606545,0.1296201825550973,-0.02121827714493041,-0.02954033621130769,1.0,0.001
3,2002-01-02,2003-01-02,Risk-Parity,252,-0.007389833706995974,-0.008382443873289014,-0.007389833706995974,0.10306312615626806,-0.5568415770736415,-0.9935727076788553,-0.11187619631568901,-0.06605367317050675,-0.009909202946353344,-0.012357748380745702,1.0,0.001
4,2003-01-02,2004-01-02,Simulated (Max Sharpe Ratio),252,0.4040240050652202,0.4024652905906603,0.4040240050652202,0.14537547297514725,2.4352388874135777,4.261031754225972,-0.11667924722811529,3.462689507032281,-0.013609545874402523,-0.016996900608492738,1.110176513319329,0.0011101765133193291
5,2003-01-02,2004-01-02,Equal-Weight,252,0.3913466134030117,0.3913466134030117,0.3913466134030117,0.1701656293685743,2.005966861049618,3.51351783218927,-0.11984356877752189,3.265478635149035,-0.01604493502091478,-0.020422763965888917,0.0,0.0
6,2003-01-02,2004-01-02,Markowitz,252,0.31830547311969637,0.3166613879980593,0.31830547311969637,0.1491697399491071,1.7986588513946284,2.9546526392271493,-0.17150846992450208,1.8559169308653634,-0.012907288923077626,-0.01880299389017392,1.24712,0.00124712
7,2003-01-02,2004-01-02,Risk-Parity,252,0.11544259486079533,0.11514443522348117,0.11544259486079533,0.04936036943417757,1.325812501222535,2.3767588257949215,-0.041739274245135904,2.7658026390875365,-0.004637790342424361,-0.005844051018735049,0.2673016421355417,0.0002673016421355417
8,2004-01-02,2005-01-03,Simulated (Max Sharpe Ratio),252,0.07861760855657085,0.07765233840499342,0.07861760855657085,0.12618829959882705,0.22678496063066733,0.3495839132694127,-0.09602404210494386,0.8187283812802874,-0.011893290328152393,-0.017196671246546082,0.8949141418793196,0.0008949141418793196
9,2004-01-02,2005-01-03,Equal-Weight,252,0.09796591528366605,0.09796591528366605,0.09796591528366605,0.11570908583085734,0.41453888378119463,0.6834383912324611,-0.08799519609124451,1.1133098127548082,-0.012622715876164715,-0.014080218213429713,0.0,0.0
