Ticker,Minimum,Maximum,Mean,Standard Deviation,Missing Values,Observations
ABT,6.792505264282227,135.81068420410156,42.91141612822537,37.35427352590234,0,6539
ADBE,8.31778621673584,688.3699951171875,156.16039940413577,182.09519404789108,0,6539
ADI,10.542304039001465,280.87799072265625,66.89327022230466,61.966298632420525,0,6539
ADP,12.579024314880371,314.3806457519531,82.39343779435998,79.58627379522031,0,6539
AMAT,6.129000186920166,274.1728515625,44.87704133688447,54.942514692892594,0,6539
AME,1.954119324684143,208.0472869873047,53.81128575089401,53.90132150242928,0,6539
AXP,7.887965679168701,381.78155517578125,79.15737695383322,70.46755656873509,0,6539
BA,16.991472244262695,430.29998779296875,118.7612364854009,94.96085964845082,0,6539
CL,12.023065567016602,103.78702545166016,42.16778064733034,23.36603691341496,0,6539
COF,6.4095330238342285,246.43783569335938,67.48530713285687,41.47223157482293,0,6539
CSCO,5.51402473449707,79.09676361083984,25.23648296071222,15.474990234156264,0,6539
CVX,12.577348709106445,161.05575561523438,62.71695864494103,39.90569907320039,0,6539
DD,7.125819683074951,122.94163513183594,56.76544676652504,25.857597060579963,0,6539
DELL,10.898679733276367,173.19473266601562,24.887287042760434,29.309404877520237,0,6539
FDX,19.88593864440918,242.4876708984375,97.58621197764818,57.99660323471801,0,6539
GE,22.57475471496582,315.5346374511719,94.17127850712357,44.4605536834971,0,6539
GILD,0.9316228628158569,125.68519592285156,36.09001369298753,29.32650123173937,0,6539
GM,13.927230834960938,82.51392364501953,29.82362680702075,9.60768749230621,0,6539
GS,38.21047592163086,897.8865966796875,173.4577473256726,139.786010204102,0,6539
HAS,4.587742328643799,96.4323959350586,36.80817822626852,25.726356445021278,0,6539
IBM,27.11720848083496,308.6916809082031,90.29218412616017,48.01418238777641,0,6539
INTC,7.557732105255127,62.08333206176758,24.46878603150455,12.76834088347003,0,6539
JBL,2.594942331314087,235.93154907226562,36.68054414262172,40.88650574612365,0,6539
JNJ,17.178190231323242,210.7797393798828,74.0326874370257,47.08488033573072,0,6539
JPM,8.013111114501953,324.5612487792969,64.65996611863945,62.71268891148527,0,6539
KLAC,0.830456554889679,127.4869613647461,14.11070593326058,22.39748138816034,0,6539
KMB,17.817501068115234,137.5607147216797,62.89854321652623,36.3153155627976,0,6539
LMT,8.493488311767578,582.7369384765625,160.00277525803642,149.74566646042055,0,6539
LOW,6.478554725646973,273.0496826171875,69.6722941489044,73.36009508254041,0,6539
MA,3.9698493480682373,595.2506713867188,130.7782982750248,162.30819806694066,0,6539
MKC,3.47013783454895,94.1828842163086,33.90272489916131,26.895048781111996,0,6539
MMM,16.07068634033203,170.6830291748047,70.53072323575263,40.66343219328859,0,6539
MRK,11.11319637298584,124.45667266845703,41.29939580784057,27.13807132474811,0,6539
MS,6.273822784423828,178.92115783691406,40.152963022770805,29.573816678860844,0,6539
MU,1.6479820013046265,294.2011413574219,34.84453641956307,35.41664046887546,0,6539
NEM,8.51541519165039,105.10164642333984,32.160139967969,13.691110463808613,0,6539
OLN,4.974287986755371,60.498321533203125,18.116820222723646,13.007047025232607,0,6539
PG,13.292810440063477,171.26251220703125,64.6713874148637,42.89978631983076,0,6539
PH,13.941649436950684,893.6336669921875,140.94473886453406,169.30275928506228,0,6539
PPG,9.663060188293457,163.35549926757812,61.17833583255411,43.511072968388554,0,6539
QCOM,7.242763519287109,216.44187927246094,55.75534997356104,44.60485637039845,0,6539
RTX,7.660572528839111,184.3799285888672,47.7797371018715,32.42032815062804,0,6539
SPGI,12.259520530700684,528.102294921875,129.86775637234473,145.1334781581924,0,6539
SPY,49.68058395385742,686.7305297851562,195.47322533002668,152.21380247761905,0,6539
T,2.823594331741333,28.28616714477539,10.520408845564006,5.404244144036283,0,6539
TMUS,8.712936401367188,265.2681884765625,63.56323609320755,53.74503475855234,0,6539
TXN,8.023630142211914,214.11729431152344,60.38273999800028,57.181029010306794,0,6539
UNP,5.189539909362793,249.596923828125,79.59833222169142,75.93707149176561,0,6539
V,9.336396217346191,369.69757080078125,86.16884082748103,95.74353816812386,0,6539
WDC,1.237876057624817,187.00164794921875,29.16357851372999,23.142016240571635,0,6539
XOM,13.813920974731445,118.610595703125,48.49328942976335,25.17602822211213,0,6539
^GSPC,676.530029296875,6932.0498046875,2268.9514690981964,1454.1429102293932,0,6539
