,Model,Portfolio Volatility,Largest Risk Contributor,Largest Asset Risk Contribution %,Herfindahl Risk Index,Residual Factor Risk %
0,Simulated (Max Sharpe Ratio),0.19002358116922427,WDC,0.08155288366533785,0.03492716764767908,0.23683726224291327
1,Equal-Weight,0.199532564943463,MU,0.03555028415640036,0.022819310554005417,0.144415431480834
2,Markowitz,0.17853058677806674,MA,0.3235521322011099,0.21804412498595016,0.4606954450519397
3,Black-Litterman,0.18242320180089466,V,0.206980709216901,0.11227247851441474,0.3598491917512497
4,Risk-Parity,0.17696403691256746,MU,0.023348493575294227,0.02010407915715295,0.21048564754725355
