,Metric,Value
0,Annual Return,0.15460331798191382
1,Annual Volatility,0.19995937846870587
2,Sharpe Ratio,0.5231228401636809
3,Sortino Ratio,0.6919890447483343
4,Maximum Drawdown,-0.46630753826764093
5,Calmar Ratio,0.33154797058669466
6,"Value at Risk (VaR, 95%)",-0.018454532076847018
7,Conditional VaR (95%),-0.028859700237628697
