,Simulated (Monte Carlo),Equal Weight,Optimized (Markowitz),Optimized (Black-Litterman),Optimized (Risk-parity)
Expected Returns,0.1555209377308524,0.14867714509147384,0.17908016664323295,0.11512647995209142,0.14053233003951698
Volatility,0.18560137159741652,0.2010509377875804,0.18660066452602403,0.17842695567566202,0.17826898862056564
Sharpe Ratio,0.5685353336705686,0.4908066889781474,0.6917454821026694,0.3650035932377614,0.507841160372595
Sortino Ratio,0.7399310473198766,0.6477945691551249,0.9163128969596634,0.4651835042585707,0.6609382309977904
Maximum Drawdown,-0.43821236282610887,-0.4663075233080559,-0.42097401046397465,-0.4081747918157589,-0.4107561266379899
Calmar Ratio,0.3548985627148226,0.3188392587722706,0.4253948276898627,0.3833362097169357,0.3421308190574399
"Value-at-Risk (VaR, 95%)",-0.016902032530732986,-0.018566505904622447,-0.01700578174018661,-0.015555313042581804,-0.016403352119934256
"Conditional VaR (CVaR, 95%)",-0.02709260898959167,-0.029140108226474143,-0.026903143513683704,-0.0263372256645785,-0.02596204004164478
