,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
89,Equal-Weight,PPG,0.02,0.0,0.02,0.02,0.0,0.0
90,Equal-Weight,QCOM,0.02,0.0,0.02,0.02,0.0,0.0
91,Equal-Weight,RTX,0.02,0.0,0.02,0.02,0.0,0.0
92,Equal-Weight,SPGI,0.02,0.0,0.02,0.02,0.0,0.0
93,Equal-Weight,T,0.02,0.0,0.02,0.02,0.0,0.0
94,Equal-Weight,TMUS,0.02,0.0,0.02,0.02,0.0,0.0
95,Equal-Weight,TXN,0.02,0.0,0.02,0.02,0.0,0.0
96,Equal-Weight,UNP,0.02,0.0,0.02,0.02,0.0,0.0
97,Equal-Weight,V,0.02,0.0,0.02,0.02,0.0,0.0
98,Equal-Weight,WDC,0.02,0.0,0.02,0.02,0.0,0.0
99,Equal-Weight,XOM,0.02,0.0,0.02,0.02,0.0,0.0
100,Markowitz,ABT,0.028424590493714808,0.07291240059508335,0.0,0.3,0.3,2.5651170106111327
101,Markowitz,ADBE,0.020738105795173857,0.053073775481566755,0.0,0.21922,0.21922,2.559239305931114
102,Markowitz,ADI,0.0,0.0,0.0,0.0,0.0,
103,Markowitz,ADP,0.0037807999999999995,0.01611827894038318,0.0,0.07986,0.07986,4.2631926947691445
104,Markowitz,AMAT,0.0098904,0.04313551625207856,0.0,0.21455,0.21455,4.361352043605775
105,Markowitz,AME,0.043644910187305624,0.09480756638362675,0.0,0.3,0.3,2.1722479431565445
106,Markowitz,AXP,0.0055820246847405434,0.023979518777412046,0.0,0.11898,0.11898,4.295846065131944
107,Markowitz,BA,0.02790756001080032,0.0841813481417497,0.0,0.3000090002700081,0.3000090002700081,3.0164352637482903
108,Markowitz,CL,0.0031928,0.011031960961980723,0.0,0.04666,0.04666,3.4552621404349546
109,Markowitz,COF,0.0021731999999999997,0.009765512753221581,0.0,0.04874,0.04874,4.493609770486647
110,Markowitz,CSCO,0.0092672,0.027968677051301516,0.0,0.11972,0.11972,3.018028859990236
111,Markowitz,CVX,0.0035687999999999996,0.011782680552404026,0.0,0.05472,0.05472,3.3015805179343274
112,Markowitz,DD,0.0,0.0,0.0,0.0,0.0,
113,Markowitz,DELL,0.038231600000000004,0.0878335460629935,0.0,0.27704,0.27704,2.297407015740735
114,Markowitz,FDX,0.0142808,0.050530567392421004,0.0,0.21489,0.21489,3.5383569122472833
115,Markowitz,GE,0.028138399999999997,0.08395500375598029,0.0,0.3,0.3,2.983645259004787
116,Markowitz,GILD,0.045287600000000004,0.08142392089552063,0.0,0.3,0.3,1.797929695888513
